Element,Volume
Carbon Dioxide,96.5
Nitrogen,3.5
Sulfur Dioxide,0.015
Argon,0.007
Water Vapor,0.002
Oxygen,0.0017
Carbon Monoxide,0.0007
Helium,0.0002
Neon,0.00001
Methane,0.00001
Ammonia,0.000002
Hydrogen,0.000001
