days,Position X (m),Position Y (m),Position Z (m)
0,4330000000000.0,-1300000000000.0,-72500000000.0
1,4330149472000.0,-1299551584000.0,-72500000000.0
2,4330298897460.848,-1299103154040.61,-72499999221.12125
3,4330448276381.3594,-1298654710126.757,-72499997663.37068
4,4330597608760.3496,-1298206252263.3674,-72499995326.75525
5,4330746894596.6353,-1297757780455.3682,-72499992211.28192
6,4330896133889.0327,-1297309294707.6858,-72499988316.95766
7,4331045326636.36,-1296860795025.2473,-72499983643.78943
8,4331194472837.434,-1296412281412.9795,-72499978191.78424
9,4331343572491.074,-1295963753875.8093,-72499971960.94907
10,4331492625596.099,-1295515212418.6638,-72499964951.29092
11,4331641632151.3286,-1295066657046.47,-72499957162.81682
12,4331790592155.5825,-1294618087764.1548,-72499948595.53377
13,4331939505607.682,-1294169504576.6453,-72499939249.4488
14,4332088372506.448,-1293720907488.8687,-72499929124.56897
15,4332237192850.703,-1293272296505.7522,-72499918220.90129
16,4332385966639.269,-1292823671632.2231,-72499906538.45284
17,4332534693870.9688,-1292375032873.2087,-72499894077.23067
18,4332683374544.6265,-1291926380233.6365,-72499880837.24185
19,4332832008659.066,-1291477713718.4336,-72499866818.49347
20,4332980596213.112,-1291029033332.5276,-72499852020.99261
21,4333129137205.5894,-1290580339080.8457,-72499836444.74638
22,4333277631635.3247,-1290131630968.3157,-72499820089.76189
23,4333426079501.144,-1289682908999.865,-72499802956.04622
24,4333574480801.874,-1289234173180.4214,-72499785043.60652
25,4333722835536.343,-1288785423514.9124,-72499766352.44992
26,4333871143703.378,-1288336660008.2656,-72499746882.58356
27,4334019405301.8086,-1287887882665.4092,-72499726634.01457
28,4334167620330.464,-1287439091491.2705,-72499705606.75014
29,4334315788788.1733,-1286990286490.7776,-72499683800.79741
30,4334463910673.7676,-1286541467668.8582,-72499661216.16357
31,4334611985986.0776,-1286092635030.4404,-72499637852.8558
32,4334760014723.9346,-1285643788580.4521,-72499613710.88129
33,4334907996886.171,-1285194928323.8213,-72499588790.24724
34,4335055932471.619,-1284746054265.476,-72499563090.96085
35,4335203821479.113,-1284297166410.3445,-72499536613.02934
36,4335351663907.485,-1283848264763.3547,-72499509356.45996
37,4335499459755.5703,-1283399349329.435,-72499481321.25992
38,4335647209022.204,-1282950420113.5137,-72499452507.43648
39,4335794911706.221,-1282501477120.5188,-72499422914.99689
40,4335942567806.458,-1282052520355.379,-72499392543.9484
41,4336090177321.751,-1281603549823.0225,-72499361394.29828
42,4336237740250.9375,-1281154565528.3777,-72499329466.05382
43,4336385256592.8555,-1280705567476.373,-72499296759.2223
44,4336532726346.343,-1280256555671.9373,-72499263273.81102
45,4336680149510.239,-1279807530119.9988,-72499229009.82729
46,4336827526083.3823,-1279358490825.486,-72499193967.2784
47,4336974856064.614,-1278909437793.3281,-72499158146.17169
48,4337122139452.774,-1278460371028.4534,-72499121546.51448
49,4337269376246.7036,-1278011290535.7905,-72499084168.31412
50,4337416566445.2446,-1277562196320.2686,-72499046011.57794
51,4337563710047.2393,-1277113088386.8162,-72499007076.31332
52,4337710807051.5303,-1276663966740.3623,-72498967362.52762
53,4337857857456.9614,-1276214831385.836,-72498926870.2282
54,4338004861262.3765,-1275765682328.166,-72498885599.42244
55,4338151818466.62,-1275316519572.2815,-72498843550.11775
56,4338298729068.5376,-1274867343123.1116,-72498800722.32152
57,4338445593066.9746,-1274418152985.5852,-72498757116.04115
58,4338592410460.7773,-1273968949164.6316,-72498712731.28407
59,4338739181248.7925,-1273519731665.18,-72498667568.05771
60,4338885905429.8677,-1273070500492.1597,-72498621626.36948
61,4339032583002.851,-1272621255650.4998,-72498574906.22684
62,4339179213966.591,-1272171997145.13,-72498527407.63724
63,4339325798319.9365,-1271722724980.9792,-72498479130.60814
64,4339472336061.738,-1271273439162.9773,-72498430075.147
65,4339618827190.8447,-1270824139696.0535,-72498380241.2613
66,4339765271706.108,-1270374826585.1372,-72498329628.95854
67,4339911669606.3794,-1269925499835.1582,-72498278238.2462
68,4340058020890.5107,-1269476159451.0461,-72498226069.13179
69,4340204325557.3545,-1269026805437.7307,-72498173121.62282
70,4340350583605.764,-1268577437800.1414,-72498119395.72682
71,4340496795034.5933,-1268128056543.208,-72498064891.45131
72,4340642959842.696,-1267678661671.8606,-72498009608.80383
73,4340789078028.9272,-1267229253191.0288,-72497953547.79193
74,4340935149592.1426,-1266779831105.6423,-72497896708.42316
75,4341081174531.1978,-1266330395420.6313,-72497839090.70508
76,4341227152844.9497,-1265880946140.9258,-72497780694.64526
77,4341373084532.2554,-1265431483271.4558,-72497721520.25131
78,4341518969591.972,-1264982006817.1514,-72497661567.53079
79,4341664808022.9585,-1264532516782.9426,-72497600836.49132
80,4341810599824.0737,-1264083013173.7598,-72497539327.14049
81,4341956344994.177,-1263633495994.533,-72497477039.48593
82,4342102043532.128,-1263183965250.1924,-72497413973.53526
83,4342247695436.7876,-1262734420945.6685,-72497350129.29611
84,4342393300707.017,-1262284863085.8916,-72497285506.77612
85,4342538859341.6777,-1261835291675.7922,-72497220105.98296
86,4342684371339.6323,-1261385706720.3005,-72497153926.92427
87,4342829836699.743,-1260936108224.3474,-72497086969.60773
88,4342975255420.874,-1260486496192.863,-72497019234.041
89,4343120627501.889,-1260036870630.7783,-72496950720.23178
90,4343265952941.653,-1259587231543.0237,-72496881428.18777
91,4343411231739.0303,-1259137578934.5298,-72496811357.91667
92,4343556463892.887,-1258687912810.2275,-72496740509.4262
93,4343701649402.09,-1258238233175.0476,-72496668882.72404
