days,Position X (m),Position Y (m),Position Z (m)
900,599105672.5699354,-193371083.60082507,-10686976.388056673
910,612652114.0769007,-194588814.50310272,-10893003.84487932
920,626305828.6818366,-195736055.3059391,-11098843.250019934
930,640069951.5330878,-196817238.64516428,-11304893.708849162
940,653949540.2173913,-197832113.2966281,-11511483.06827615
950,667943219.8526945,-198778745.8416158,-11718081.877076302
960,682050578.6693223,-199660508.10320103,-11924564.406948779
970,696274197.6878892,-200480618.5738211,-12131130.544194097
980,710618284.9772574,-201241644.44692007,-12338114.359838804
990,725088994.5438528,-201945719.3888018,-12546013.631347211
1000,739695737.6464946,-202593863.53512713,-12755572.816506954
