days,Position X (m),Position Y (m),Position Z (m)
281,76454994515.40671,1424944851.3553014,-8730741485.891838
282,75842423160.97455,4731700938.308872,-8469436771.807348
283,75061419699.84102,8027856252.880871,-8189312541.300321
284,74110226618.42975,11305709213.579826,-7890609938.151819
285,72987302457.13461,14557255087.57435,-7573612503.295336
286,71691349193.6224,17774172123.190037,-7238650133.025544
287,70221343169.16269,20947808498.61376,-6886103398.868034
288,68576569857.00613,24069170467.446472,-6516408241.66419
289,66756662773.232,27128912161.972816,-6130061047.963843
290,64761646822.177635,30117327607.45432,-5727624110.533352
291,62591986347.13819,33024345606.06594,-5309731466.2467985
292,60248638118.30776,35839528267.49747,-4877095093.338574
293,57733109428.895294,38552074094.24929,-4430511435.404666
294,55047521381.076645,41150826671.76783,-3970868201.051224
295,52194677319.14992,43624290163.86808,-3499151365.0879107
296,49178136200.40982,45960652967.5396,-3016452269.059732
297,46002290476.83704,48147821030.88861,-2523974685.203457
298,42672447784.70982,50173462473.14894,-2023041668.284731
299,39194915397.4723,52025065252.10755,-1515101974.2111034
300,35577085984.3471,53690009683.246826,-1001735773.2914252
301,31827522731.46435,55155657602.92089,-484659330.67015725
302,27956041327.446167,56409459856.683105,34271731.131542146
303,23973785703.231354,57439083551.05494,553061029.2586613
304,19893293769.12011,58232560097.650246,1069572369.8601277
305,15728548746.986532,58778454468.14245,1581533581.6603947
306,11495011104.956423,59066055237.55997,2086543785.3683925
307,7209625635.62742,59085583903.59611,2582084641.498189
308,2890797963.712282,58828420632.08937,3065536071.524522
309,-1441665176.2010078,58287342022.94327,3534196851.2975044
310,-5766657083.344981,57456764783.013855,3985310323.2554507
311,-10061917873.410854,56332987443.15583,4416095260.779575
312,-14304229571.32998,54914420621.50877,4823781645.414401
313,-18469660049.842655,53201795009.73577,5205650794.932324
314,-22533853677.336605,51198335462.52744,5559078926.061146
315,-26472363467.85841,48909889519.25507,5881582878.510141
316,-30261016285.640293,46344999556.75604,6170866403.251933
317,-33876299552.93058,43514909660.54792,6424865168.830559
318,-37295755297.91982,40433501188.671135,6641788504.540579
319,-40498365612.51212,37117154729.47985,6820155910.297174
320,-43464912960.46145,33584540425.55895,6958826536.5888815
321,-46178299459.186714,29856343044.666706,7057020170.776074
322,-48623811266.27011,25954932264.820507,7114328733.119651
323,-50789317370.75216,21903991961.12469,7130717842.888937
324,-52665396098.822945,17728124483.674767,7106518604.322342
325,-54245387064.78442,13452446793.760592,7042410322.834303
326,-55525370665.31244,9102194851.420067,6939395338.304468
327,-56504081099.066284,4702350964.411877,6798767513.318929
328,-57182761964.238625,277306195.15757656,6622076117.797125
329,-57564975549.49188,-4149433265.143035,6411086905.695605
330,-57656377939.40199,-8555490234.421841,6167742100.214188
331,-57464472082.045715,-12919808924.151064,5894120819.401318
332,-56998350184.49282,-17222796169.0606,5592401218.811896
333,-56268435433.301315,-21446414410.446632,5264825336.909451
334,-55286231314.37772,-25574231024.93058,4913667333.153344
335,-54064084942.456314,-29591429655.665768,4541205532.275471
336,-52614968977.96222,-33484789714.07168,4149698447.380777
337,-50952285032.9192,-37242640275.44002,3741364757.9425106
338,-49089690024.819496,-40854794302.80269,3318367068.9619694
339,-47040945763.51486,-44312468609.55177,2882799172.327911
340,-44819791154.57643,-47608194309.14166,2436676465.5583644
341,-42439835754.3111,-50735721778.55374,1981929149.9158502
342,-39914472984.535736,-53689923440.44372,1520397822.2196174
343,-37256811071.09016,-56466696988.13955,1053831085.755892
344,-34479619669.95485,-59062871063.38835,583884829.5454615
345,-31595290152.465237,-61476114862.01195,112122856.93101048
346,-28615807604.840405,-63704852691.26986,-359981419.8775787
347,-25552732730.852173,-65748184132.2693,-831042465.8950527
348,-22417192009.17993,-67605810164.76946,-1299759500.8523953
349,-19219874633.063274,-69277965381.63045,-1764912945.2770896
350,-15971034937.836777,-70765356246.5611,-2225360581.814098
351,-12680499193.926704,-72069105222.39682,-2680033551.311413
352,-9357675803.837652,-73190700509.18007,-3127932279.557333
353,-6011568088.630333,-74131951074.03719,-3568122410.3004017
354,-2650788981.0331345,-74894946621.50912,-3999730803.075487
355,716422941.60957,-75482022137.92534,-4421941640.102316
356,4082186550.3767557,-75895726641.93112,-4833992674.789428
357,7438960762.778589,-76138795781.61131,-5235171644.838594
358,10779526950.77916,-76214127933.79826,-5624812865.288648
359,14096971401.519213,-76124763480.7737,-6002294010.774655
360,17384668021.284126,-75873866961.8834,-6367033091.549453
361,20636261430.041023,-75464711821.23907,-6718485624.191973
362,23845650558.35237,-74900667496.69754,-7056141995.213876
