days,Position X (m),Position Y (m),Position Z (m)
0,-3140000000.0,150000000000.0,0.0
1,-5681888000.0,150000000000.0,0.0
2,-8222109567.669477,149956027653.92657,-18.909822344313582
3,-10759923601.472504,149868160537.12787,-56.68484929516647
4,-13294591820.27241,149736487982.0088,-113.28170642972819
5,-15825378922.17674,149561110986.2564,-188.6584771827727
6,-18351552740.649216,149342142120.01147,-282.77490901601584
7,-20872384397.930824,149079705432.0565,-395.59261131976115
8,-23387148455.81343,148773936355.0887,-527.0752452407899
9,-25895123063.810482,148424981610.1432,-677.188705696327
10,-28395590104.770473,148032999110.2283,-845.9012958813562
11,-30887835337.97979,147598157863.23425,-1033.1838946089833
12,-33371148539.802464,147120637874.1711,-1239.0101168439223
13,-35844823641.90518,146600630046.79172,-1463.3564678000118
14,-38308158867.11656,146038336084.65112,-1706.2024909760796
15,-40760456862.97033,145433968391.65204,-1967.5309105021893
16,-43201024832.98266,144787749972.12335,-2247.327768161777
17,-45629174665.71423,144099914330.47592,-2545.5825554455605
18,-48044223061.66813,143370705370.47736,-2862.288340981331
19,-50445491658.07483,142600377294.1854,-3197.4418936705274
20,-52832307151.61587,141789194500.57654,-3551.0438018484583
21,-55204001419.13792,140937431483.90454,-3923.098588770597
22,-57559911636.409004,140045372731.82062,-4313.614824712864
23,-59899380394.968735,139113312623.2852,-4722.605235959519
24,-62221755817.12427,138141555326.29865,-5150.086810938314
25,-64526391669.14369,137130414695.47598,-5596.080903749137
26,-66812647472.69829,136080214169.48814,-6060.6133353194555
27,-69079888614.60492,134991286668.39091,-6543.714492407595
28,-71327486454.91951,133863974490.85939,-7045.419424663229
29,-73554818433.43224,132698629211.34459,-7565.767939943367
30,-75761268174.61465,131495611577.16615,-8104.804698071667
31,-77946225591.06853,130255291405.55324,-8662.579303218894
32,-80109086985.52559,128978047480.64365,-9239.146395072916
33,-82249255151.44705,127664267450.44922,-9834.565738957484
34,-84366139472.2709,126314347723.79337,-10448.90231505034
35,-86459156019.35458,124928693367.22508,-11082.226406842636
36,-88527727648.65965,123507718001.91156,-11734.613688973343
37,-90571284096.22485,122051843700.50964,-12406.145314563957
38,-92589262072.4725,120561500884.01491,-13096.908002170474
39,-94581105355.39305,119037128218.58492,-13806.994122461008
40,-96546264882.65126,117479172512.3318,-14536.501784718583
41,-98484198842.65685,115888088612.07747,-15285.534923259234
42,-100394372764.64145,114264339300.06296,-16054.203383845628
43,-102276259607.78285,112608395190.60213,-16842.62301016562
44,-104129339849.41624,110920734626.668,-17650.91573043339
45,-105953101572.37154,109201843576.39862,-18479.209644157872
46,-107747040551.47447,107452215529.50775,-19327.639109108735
47,-109510660339.24834,105672351393.58427,-20196.34482849403
48,-111243472350.85178,103862759390.26276,-21085.473938345574
49,-112944995948.28723,102023954951.246,-21995.180095087562
50,-114614758523.91325,100156460614.15929,-22925.623563240817
51,-116252295583.29279,98260805918.21461,-23876.97130318883
52,-117857150827.40814,96337527299.66179,-24849.397058901923
53,-119428876234.27222,94387167987.00206,-25843.081445482017
54,-120967032139.96432,92410277895.93883,-26858.212036352208
55,-122471187319.11731,90407413524.03856,-27894.98344987153
56,-123940919064.88168,88379137845.07408,-28953.597435106152
57,-125375813268.39081,86326020203.0212,-30034.26295643202
58,-126775464497.74998,84248636205.67839,-31137.19627658089
59,-128139476076.57068,82147567617.87863,-32262.62103767011
60,-129467460162.06966,80023402254.26082,-33410.76833967615
61,-130759037822.75154,77876733871.56787,-34581.87681572143
62,-132013839115.69144,75708162060.43726,-35776.19270344269
63,-133231503163.433,73518292136.64886,-36993.96991159598
64,-134411678230.5156,71307735031.79442,-38235.47008092737
65,-135554021799.64264,69077107183.33156,-39500.96263819891
66,-136658200647.50165,66827030423.98515,-40790.724842105206
67,-137723890920.24472,64558131870.457466,-42105.04181964722
68,-138750778208.63666,62271043811.40817,-43444.20659134565
69,-139738557622.87613,59966403594.66463,-44808.52008347762
70,-140686933867.09357,57644853513.62188,-46198.2911253074
71,-141595621313.52777,55307040692.791695,-47613.83642905764
72,-142464344076.38123,52953616972.459,-49055.48055013395
73,-143292836085.35278,50585238792.40377,-50523.5558248789
74,-144080841158.84393,48202567074.645966,-52018.40228289822
75,-144828113076.8334,45806267105.17058,-53540.36753078256
76,-145534415653.41293,43397008414.58959,-55089.80660385795
77,-146199522808.97495,40975464657.69724,-56667.08178245578
78,-146823218642.04123,38542313491.874695,-58272.562369126565
79,-147405297500.7193,36098236454.300095,-59906.62442326531
80,-147945564053.7717,33643918837.91969,-61569.650449817236
81,-148443833361.28113,31180049566.135536,-63262.02903914961
82,-148899930944.89218,28707321066.165386,-64984.15445588539
83,-149313692857.60892,26226429141.03014,-66736.42617559082
84,-149684965753.1247,23738072840.12439,-68519.24836980752
85,-150013606954.65936,21242954328.325596,-70333.02934215512
86,-150299484523.27615,18741778753.5976,-72178.18092125488
87,-150542477325.64896,16235254113.044357,-74055.11782019751
88,-150742475101.2483,13724091117.370039,-75964.25697734457
89,-150899378528.91223,11209003053.701918,-77906.01689951128
90,-151013099292.7661,8690705646.73292,-79880.8170360199
91,-151083560147.45328,6169916918.141095,-81889.07722054364
92,-151110694982.63632,3647357044.24382,-83931.21722658188
93,-151094448886.72638,1123748211.845158,-86007.65649088655
94,-151034778209.79593,-1400185527.7645078,-88118.81406568628
95,-150931650625.62796,-3923718406.6966496,-90265.10886296192
96,-150785045192.85272,-6446123090.279754,-92446.96024952203
97,-150594952415.12036,-8966670828.839628,-94664.78903708814
98,-150361374300.25574,-11484631611.481892,-96919.01888421278
99,-150084324418.33936,-13999274321.912468,-99210.07808517717
100,-149763827958.6555,-16509866896.3306,-101538.40166633826
101,-149399921785.44638,-19015676483.42759,-103904.4336480352
102,-148992654492.40833,-21515969606.52308,-106308.62927003327
103,-148542086455.86328,-24010012327.869507,-108751.4569341511
104,-148048289886.5364,-26497070415.15394,-111233.39960351004
105,-147511348879.86813,-28976409510.225437,-113754.95542432451
106,-146931359464.7867,-31447295300.074745,-116316.63740543442
107,-146308429650.86514,-33908993690.091705,-118918.97209387318
108,-145642679473.7849,-36360770979.62437,-121562.4973027179
109,-144934241039.02695,-38801894039.86175,-124247.7590565235
110,-144183258563.70868,-41231630494.06019,-126975.3079984797
111,-143389888416.48416,-43649248900.13086,-129745.69553945588
112,-142554299155.42255,-46054018935.60328,-132559.47002119062
113,-141676671563.77798,-48445211584.97711,-135417.1731229185
114,-140757198683.56186,-50822099329.47159,-138319.33667721355
115,-139796085846.82617,-53183956339.179146,-141266.47999186092
116,-138793550704.56424,-55530058667.62694,-144259.1077120739
117,-137749823253.13324,-57859684448.74712,-147297.70820841595
118,-136665145858.10071,-60172114096.25375,-150382.7524427444
119,-135539773275.41481,-62466630505.42116,-153514.6932463017
120,-134373972669.79698,-64742519257.255646,-156693.96493778753
121,-133168023630.25319,-66999068825.04916,-159920.9832112908
122,-131922218182.5986,-69235570783.30003,-163196.14523105527
123,-130636860798.88902,-71451320018.98285,-166519.8298795686
124,-129312268403.65071,-73645614945.14551,-169892.39811555945
125,-127948770376.79918,-75817757716.80826,-173314.1934080146
126,-126546708553.13608,-77967054449.13522,-176785.54222067585
127,-125106437218.31232,-80092815437.84546,-180306.7545284168
128,-123628323101.14435,-82194355381.82619,-183878.1243524325
129,-122112745362.16982,-84270993607.90689,-187499.9303054325
130,-120560095578.32794,-86322054297.74854,-191172.43614119798
131,-118970777723.64919,-88346866716.79797,-194895.89130514866
132,-117345208145.8385,-90344765445.25291,-198670.5314841495
133,-115683815538.63579,-92315090610.9785,-202496.57915483823
134,-113987040909.83711,-94257188124.31155,-206374.24413040574
135,-112255337544.8601,-96170409914.68411,-210303.72410612195
136,-110489170965.73705,-98054114168.99277,-214285.20520405375
137,-108689018885.41931,-99907665571.63554,-218318.86251743458
138,-106855371157.2774,-101730435546.1329,-222404.86065506487
139,-104988729719.68118,-103521802498.24457,-226543.3542859835
140,-103089608535.54597,-105281152060.4884,-230734.4886844809
141,-101158533526.73091,-107007877337.9627,-234978.40027533926
142,-99196042503.17728,-108701379155.36775,-239275.21717900105
143,-97202685086.6759,-110361066305.11714,-243625.05975618953
144,-95179022629.15427,-111986355796.4242,-248028.0411513414
145,-93125628125.3758,-113576673105.2433,-252484.2678340667
146,-91043086119.94589,-115131452424.94043,-256993.84013772482
147,-88931992608.5216,-116650136917.56187,-261556.85279410108
148,-86792954933.12407,-118132178965.5646,-266173.3954630854
149,-84626591671.45604,-119577040423.86633,-270843.5532561931
150,-82433532520.1294,-120984192872.0677,-275567.40725272836
151,-80214418171.71112,-122353117866.69391,-280345.0350073697
152,-77969900185.49954,-123683307193.2973,-285176.5110479585
153,-75700640851.94638,-124974263118.25743,-290061.90736228833
154,-73407313050.64436,-126225498640.10948,-295001.2938727298
155,-71090600101.80428,-127436537740.22707,-299994.7388975768
156,-68751195611.14993,-128606915632.67973,-305042.30959806644
157,-66389803308.1644,-129736179013.08102,-310144.0724101057
158,-64007136877.62583,-130823886306.23737,-315300.0934598297
159,-61603919784.3768,-131869607912.4037,-320510.43896221777
160,-59180885091.27636,-132872926451.94669,-325775.17560210783
161,-56738775270.2903,-133833437008.21182,-331094.3708970655
162,-54278342006.680954,-134750747368.38644,-336468.0935416928
163,-51800345996.26455,-135624478262.14616,-341896.4137330898
164,-49305556735.71065,-136454263597.8684,-347379.4034773162
165,-46794752305.86529,-137239750696.1924,-352917.13687683665
166,-44268719148.08659,-137980600520.70212,-358509.69039906847
167,-41728251833.58906,-138676487905.50403,-364157.1431262877
168,-39174152825.80053,-139327101779.46942,-369859.5769872832
169,-36607232235.7437,-139932145386.90765,-375617.07697128167
170,-34028307570.462257,-140491336504.4336,-381429.7313247948
171,-31438203474.52012,-141004407653.79105,-387297.6317321653
172,-28837751464.61082,-141471106310.39096,-393220.87348070944
