days,Position X (m),Position Y (m),Position Z (m)
126,-23666261998.23027,-282902604652.0786,4253189800.500519
127,-21677235821.854755,-283223525843.40955,4220638170.6926355
128,-19687269691.66147,-283532198342.83374,4187903934.161405
129,-17696451116.273552,-283828629799.2832,4154988816.372067
130,-15704867358.530832,-284112828631.5768,4121894548.61538
131,-13712605427.249119,-284384804023.03796,4088622867.782325
132,-11719752069.094053,-284644565916.01184,4055175516.139563
133,-9726393760.570755,-284892125006.28375,4021554241.105706
134,-7732616700.130442,-285127492737.4023,3987760795.028457
135,-5738506800.395148,-285350681294.90936,3953796934.962678
136,-3744149680.50161,-285561703600.4801,3919664422.44944
137,-1749630658.5652943,-285760573305.9749,3885365023.296111
138,244965255.7344694,-285947304787.4065,3850900507.3575363
139,2239553368.447401,-286121913138.82477,3816272648.3183603
140,4234049308.522402,-286284414166.1222,3781483223.47655
141,6228369034.854159,-286434824380.7617,3746534013.528163
142,8222428843.205539,-286573160993.4309,3711426802.353413
143,10216145373.005125,-286699441907.62415,3676163376.8040843
144,12209435614.01935,-286813685713.1559,3640745526.492336
145,14202216912.898699,-286915911679.6076,3605175043.5809484
146,16194406979.597536,-287006139749.71106,3569453722.575054
147,18185923893.667168,-287084390532.6705,3533583360.1153955
148,20176686110.421795,-287150685297.4262,3497565754.773152
149,22166612466.977104,-287205045965.86273,3461402706.84638
150,24155622188.161243,-287247495105.96313,3425096018.1581025
151,26143634892.29805,-287278055924.91327,3388647491.856086
152,28130570596.862385,-287296752262.15735,3352058932.2143435
153,30116349724.007553,-287303608582.40857,3315332144.436402
154,32100893105.964794,-287298649968.61615,3278468934.460358
155,34084121990.314873,-287281902114.8923,3241471108.7657704
156,36065958045.131905,-287253391319.4007,3204340474.1824045
157,38046323363.99954,-287213144477.21,3167078837.700874
158,40025140470.899734,-287161189073.1138,3129688006.2851987
159,42002332324.97428,-287097553174.41986,3092169786.6873116
160,43977822325.159546,-287022265423.7117,3054525985.2635403
161,45951534314.69457,-286935355031.5834,3016758407.7930884
162,47923392585.50309,-286836851769.35156,2978868859.298543
163,49893321882.44975,-286726785961.7458,2940859143.8684273
164,51861247407.471146,-286605188479.5802,2902731064.481826
165,53827094823.58207,-286472090732.4084,2864486422.8350987
166,55790790258.75763,-286327524661.16406,2826127019.170707
167,57752260309.69173,-286171522730.7893,2787654652.108167
168,59711432045.43266,-286004117922.85297,2749071118.4771485
169,61668233010.89642,-285825343728.16125,2710378213.152739
170,63622591230.258415,-285635234139.3624,2671577728.892884
171,65574435210.22441,-285433823643.54803,2632671456.178017
172,67523693943.181435,-285221147214.8525,2593661183.0528994
173,69470296910.22946,-284997240307.05304,2554548694.9706693
174,71414174084.0947,-284762138846.1725,2515335774.6391253
175,73355255931.92543,-284515879223.0858,2476024201.869241
176,75293473417.97124,-284258498286.13354,2436615753.42593
177,77228758006.14658,-283990033333.74316,2397112202.8810606
178,79161041662.47968,-283710522107.06055,2357515320.4687333
179,81090256857.44775,-283420002782.5935,2317826872.9428225
180,83016336568.19952,-283118513964.8686,2278048623.43679
181,84939214280.6661,-282806094679.1038,2238182331.325773
182,86858823991.56137,-282482784363.898,2198229752.0909457
183,88775100210.27274,-282148622863.93933,2158192637.1861672
184,90687977960.64374,-281803650422.7341,2118072733.9069033
185,92597392782.64923,-281447907675.3574,2077871785.2614312
186,94503280733.96458,-281081435641.22784,2037591529.844325
187,96405578391.43,-280704275716.9066,1997233701.712219
188,98304222852.41098,-280316469668.9241,1956800030.2618463
189,100199151736.05652,-279918059626.63354,1916292240.1103518
190,102090303184.45576,-279509088075.09515,1875712050.9778748
191,103977615863.69482,-279089597847.99005,1835061177.572395
192,105861028964.81471,-278659632120.5672,1794341329.4768412
193,107740482204.67183,-278219234402.6233,1753554211.03845
194,109615915826.70213,-277768448531.51764,1712701521.2603755
195,111487270601.59053,-277307318665.22284,1671784953.695537
196,113354487827.84653,-276835889275.41266,1630806196.3427005
197,115217509332.28761,-276354205140.5883,1589766931.5447817
198,117076277470.43176,-275862311339.24396,1548668835.8893673
199,118930735126.8002,-275360253243.0728,1507513580.1114397
200,120780825715.132,-274848076510.2149,1466302828.998297
201,122626493178.51169,-274325827078.5472,1425038241.2966585
202,124467681989.41139,-273793551159.0175,1383721469.621944
203,126304337149.64874,-273251295229.02255,1342354160.3697135
204,128136404190.26201,-272699106025.83206,1300937953.6292598
205,129963829171.30386,-272137030540.05847,1259474483.0993352
206,131786558681.55502,-271565116009.17432,1217965376.0060055
207,133604539838.15936,-270983409911.07736,1176412253.0226138
208,135417720286.18173,-270391959957.7046,1134816728.1918416
209,137226048198.08987,-269790814088.6958,1093180408.8498545
210,139029472273.16196,-269180020465.1074,1051504895.5525147
211,140827941736.82095,-268559627463.1772,1009791782.0036485
212,142621406339.8974,-267929683668.14096,968042654.9853517
213,144409816357.82175,-267290237868.10126,926259094.2903166
214,146193122589.74786,-266641339047.94916,884442672.6561666
215,147971276357.60892,-265983036383.3395,842594955.701778
216,149744229505.10712,-265315379234.72037,800717501.8655756
217,151511934396.6385,-264638417141.41693,758811862.3457801
218,153274343916.15427,-263952199815.77063,716879581.0425931
219,155031411465.96017,-263256777137.33386,674922194.5022961
220,156783090965.45468,-262552199147.12067,632941231.8632475
221,158529336849.80798,-261838516041.9138,590938214.8037549
222,160270104068.58267,-261115778168.62872,548914657.491803
223,162005348084.29758,-260384036018.73474,506872066.53661436
224,163735024870.936,-259643340222.73352,464811940.94202137
225,165459090912.3997,-258893741544.69537,422735772.06162685
226,167177503200.90976,-258135290876.8537,380645043.55572927
227,168890219235.3559,-257368039234.25757,338541231.34998906
228,170597197019.59512,-256592037749.48273,296425803.5958122
229,172298395060.70126,-255807337667.40137,254300220.63242608
230,173993772367.1665,-255013990340.01056,212165934.9506235
231,175683288447.0562,-254212047221.3196,170024391.15814975
232,177366903306.1183,-253401559862.29654,127877025.9467085
233,179044577445.8482,-252582579905.8734,85725268.0605619
234,180716271861.5111,-251755159082.01114,43570538.2667008
235,182381948040.12207,-250919349202.82318,1414249.326561436
236,184041567958.38574,-250075202157.7586,-40742194.0307347
237,185695094080.59665,-249222769908.8444,-82897395.13364041
238,187342489356.50125,-248362104485.98688,-125049965.39196365
239,188983717219.12308,-247493257982.3325,-167198524.3191911
240,190618741582.552,-246616282549.68753,-209341699.553375
241,192247526839.69885,-245731230393.99725,-251478126.87660322
242,193870037860.01663,-244838153770.88382,-293606450.23307186
243,195486239987.1892,-243937104981.24347,-335725321.7457793
244,197096099036.78894,-243028136366.90244,-377833401.73185945
245,198699581293.90414,-242111300306.3318,-419929358.7165731
246,200296653510.7375,-241186649210.42105,-462011869.44597405
247,201887282904.17654,-240254235518.3104,-504079618.89826816
248,203471437153.3374,-239314111693.28134,-546131300.2938826
249,205049084397.08246,-238366330218.7058,-588165615.1042627
250,206620193231.5133,-237410943594.05347,-630181273.0594151
251,208184732707.43997,-236448004330.95697,-672176992.1542133
252,209742672327.8272,-235477564949.33524,-714151498.6534864
253,211293982045.2189,-234499677973.57425,-756103527.095907
254,212838632259.1417,-233514395928.76535,-798031820.2966999
255,214376593813.48843,-232521771337.00073,-839935129.349189
256,215907837993.88275,-231521856713.72598,-881812213.6252036
257,217432336525.02524,-230514704564.14917,-923661840.7743623
258,218950061568.0226,-229500367379.70657,-965482786.7222579
259,220460985717.70016,-228478897634.5843,-1007273835.6675602
260,221965081999.89886,-227450347782.296,-1049033780.0780612
261,223462323868.75766,-226414770252.31592,-1090761420.6856806
262,224952685203.98175,-225372217446.76718,-1132455566.480454
263,226436140308.098,-224322741737.16492,-1174115034.7035248
264,227912663903.69775,-223266395461.21393,-1215738650.839161
265,229382231130.6685,-222203230919.6604,-1257325248.605816
266,230844817543.4143,-221133300373.1974,-1298873669.9462566
267,232300399108.06677,-220056656039.4237,-1340382765.0167773
268,233748952199.68637,-218973350089.85574,-1381851392.1755207
269,235190453599.45538,-217883434646.99185,-1423278417.9699266
270,236624880491.8631,-216786961781.429,-1464662717.1233265
271,238052210461.88376,-215683983509.03094,-1506003172.5207064
272,239472421492.14822,-214574551788.1481,-1547298675.1936557
273,240885491960.1099,-213458718516.88785,-1588548124.3045208
274,242291400635.20544,-212336535530.43573,-1629750427.1297848
275,243690126676.0113,-211208054598.42648,-1670904499.04269
276,245081649627.39618,-210073327422.3646,-1712009263.4951224
277,246465949417.67062,-208932405633.09424,-1753063651.9987774
278,247843006355.7339,-207785340788.31766,-1794066604.1056223
279,249212801128.21896,-206632184370.16196,-1835017067.3876772
280,250575314796.6362,-205472987782.7936,-1875913997.4161277
281,251930528794.51614,-204307802350.08035,-1916756357.73979
282,253278424924.5523,-203136679313.29987,-1957543119.8629436
283,254618985355.74408,-201959669828.89502,-1998273263.222549
284,255952192620.54074,-200776824966.2749,-2038945775.1648657
285,257278029611.98676,-199588195705.66147,-2079559650.92149
286,258596479580.86914,-198393832935.9811,-2120113893.5848238
287,259907526132.86713,-197193787452.80087,-2160607514.0829954
288,261211153225.70496,-195988109956.30878,-2201039531.154242
289,262507345166.30792,-194776851049.33762,-2241408971.3207755
290,263796086607.96252,-193560061235.43213,-2281714868.8621407
291,265077362547.48087,-192337790916.95874,-2321956265.788085
292,266351158322.36993,-191110090393.25757,-2362132211.810951
293,267617459608.00613,-189877009858.83615,-2402241764.3176093
294,268876252414.81546,-188638599401.60452,-2442283988.3409414
295,270127523085.45996,-187394909001.15115,-2482257956.5308933
296,271371258292.03052,-186145988527.05917,-2522162749.125105
297,272607445033.24667,-184891887737.2625,-2561997453.919135
298,273836070631.66376,-183632656276.44153,-2601761166.2362943
299,275057122730.88763,-182368343674.45755,-2641452988.897095
300,276270589292.7975,-181098999344.82593,-2681072032.188337
301,277476458594.77716,-179824672583.22717,-2720617413.8318343
302,278674719226.95514,-178545412566.05563,-2760088258.9528065
303,279865360089.4534,-177261268349.0053,-2799483700.047932
304,281048370389.6462,-175972288865.69232,-2838802876.9530897
305,282223739639.4278,-174678522926.31348,-2878044936.8107905
306,283391457652.491,-173380019216.34082,-2917209034.037317
307,284551514541.6157,-172076826295.25122,-2956294330.289578
308,285703900715.9676,-170768992595.29086,-2995299994.4316955
309,286848606878.4084,-169456566420.2742,-3034225202.5013256
310,287985624022.817,-168139595944.4167,-3073069137.6757355
311,289114943431.4219,-166818129211.20108,-3111830990.2376375
312,290236556672.1451,-165492214132.2767,-3150509957.5408
313,291350455595.95856,-164161898486.3914,-3189105243.9754376
314,292456632334.2521,-162827229918.35538,-3227616060.933394
315,293555079296.21375,-161488255938.03708,-3266041626.7731314
316,294645789166.22296,-160145023919.3899,-3304381166.784531
317,295728754901.2563,-158797581099.51,-3342633913.153517
318,296803969728.3061,-157445974577.72455,-3380799104.9265127
319,297871427141.81244,-156090251314.7095,-3418875987.974742
320,298931120901.1082,-154730458131.63733,-3456863814.958377
321,299983045027.8779,-153366641709.35352,-3494761845.290553
322,301027193803.6299,-151998848587.5819,-3532569345.1012483
323,302063561767.1825,-150627125164.15817,-3570285587.2010436
324,303092143712.1645,-149251517694.29105,-3607909851.0447693
325,304112934684.5291,-147872072289.85107,-3645441422.695048
326,305125929980.08276,-146488834918.68622,-3682879594.785738
327,306131125142.0281,-145101851403.96408,-3720223666.4852924
328,307128515958.5213,-143711167423.5403,-3757472943.4600325
329,308118098460.24475,-142316828509.35275,-3794626737.837351
330,309099868917.99365,-140918880046.84085,-3831684368.1688485
331,310073823840.27814,-139517367274.39017,-3868645159.39341
332,311039959970.94025,-138112335282.80136,-3905508442.800232
333,311998274286.7859,-136703829014.7834,-3942273555.9918013
334,312948763995.2322,-135291893264.47046,-3978939842.846841
335,313891426531.96985,-133876572676.96239,-4015506653.483219
336,314826259558.6413,-132457911747.88806,-4051973344.220839
337,315753260960.53406,-131035954822.99147,-4088339277.5445046
338,316672428844.2895,-129610746097.74004,-4124603822.06678
339,317583761535.62744,-128182329616.95486,-4160766352.4908376
340,318487257577.0865,-126750749274.46255,-4196826249.5733104
341,319382915725.7797,-125316048812.76814,-4232782900.087148
342,320270734951.1664,-123878271822.74895,-4268635696.784486
343,321150714432.8394,-122437461743.36879,-4304384038.359529
344,322022853558.32886,-120993661861.41241,-4340027329.411462
345,322887151920.92096,-119546915311.23964,-4375564980.407387
346,323743609317.4934,-118097265074.55894,-4410996407.645292
347,324592225746.3665,-116644753980.22014,-4446321033.217062
348,325433001405.1703,-115189424704.02579,-4481538284.971528
349,326265936688.72754,-113731319768.561,-4516647596.477573
