days,Position X (m),Position Y (m),Position Z (m)
84,74745416436.35753,2105004373.9628448,-5050751039.214204
85,74051598755.17697,5997065414.05884,-4893109110.490144
86,73179880463.91759,9874707543.348658,-4723711586.929452
87,72129050829.30748,13728168132.059563,-4542752098.011356
88,70898570909.71605,17547422416.840054,-4350477628.039698
89,69488617044.15955,21322241774.354713,-4147189839.735156
90,67900118406.388115,25042259196.453552,-3933245788.1348443
91,66134787302.73742,28697041277.59532,-3709057953.972741
92,64195140973.06078,32276165757.17336,-3475093538.816403
93,62084513795.28238,35769303400.03931,-3231872981.2345996
94,59807058995.77547,39166302763.0553,-2979967673.725761
95,57367739225.50326,42457276199.4907,-2719996883.3091464
96,54772305666.877754,45632685311.13527,-2452623903.554754
97,52027265675.61962,48683423982.429924,-2178551491.1687603
98,49139839319.07479,51600897130.40406,-1898516664.6870265
99,46117905528.63569,54377093382.76679,-1613284964.9591599
100,42969938919.41475,57004650052.81735,-1323644295.6191614
101,39704938626.17759,59476909007.14222,-1030398475.5320649
102,36332350744.22481,61787962308.53891,-734360643.4829628
103,32861986134.714878,63932686846.341934,-436346657.7174205
104,29303935448.02793,65906767520.695305,-137168629.34343433
105,25668483233.77536,67706708906.58352,162371280.54097015
106,21966022944.943634,69329835668.43188,461486684.07720125
107,18206974514.2334,70774282309.74107,759412312.045311
108,14401705994.57571,72038973110.75906,1055408803.571761
109,10560460527.319405,73123593320.9393,1348766883.9589572
110,6693289646.143134,74028552826.62825,1638810896.2667768
111,2809993657.703311,74754943607.10657,1924901673.159102
112,-1079930424.4999514,75304492326.61572,2206438754.592257
113,-4967333166.54479,75679509392.22595,2482861973.5115747
114,-8843449220.34263,75882835745.38324,2753652445.421548
115,-12699926244.793406,75917788557.98584,3018333008.317578
116,-16528846598.126091,75788106881.54007,3276468167.0276966
117,-20322742283.350597,75497898159.65399,3527663600.68771
118,-24074603719.64015,75051586368.2964,3771565294.158978
119,-27777882971.057983,74453862402.10327,4007858354.0665393
120,-31426492093.91382,73709637184.36494,4236265568.195512
121,-35014797269.42436,72823997847.53816,4456545763.649086
122,-38537609373.76618,71802167213.1791,4668492014.834656
123,-41990171607.50737,70649466696.84206,4871929747.360228
124,-45368144764.96119,69371282675.45172,5066714778.597027
125,-48667590674.95647,67973036281.82882,5252731330.248593
126,-51884954291.0758,66460156532.70655,5429890042.960641
127,-55017044854.22598,64838056651.568054,5598126017.9583435
128,-58061016495.58075,63112113414.54971,5757396906.01242
129,-61014348595.07036,61287649324.949196,5907681059.777869
130,-63874826160.83066,59369917407.98416,6048975761.753462
131,-66640520449.12451,57364088410.85358,6181295536.785056
132,-69309770002.651,55275240192.4496,6304670555.171686
133,-71881162248.04817,53108349090.98208,6419145130.006872
134,-74353515760.7651,50868283065.19152,6524776310.366472
135,-76725863277.17654,48559796414.77955,6621632570.3010435
136,-78997435509.58746,46187525897.37094,6709792592.265126
137,-81167645799.31148,43755988072.07428,6789344142.577744
138,-83236075625.95552,41269577712.99495,6860383035.718759
139,-85202460977.04124,38732567149.45422,6923012183.687735
140,-87066679570.78056,36149106402.86035,6977340726.25195
141,-88828738915.85168,33523224002.92389,7023483237.657735
142,-90488765185.06938,30858828378.04089,7061559005.247369
143,-92046992874.6094,28159709726.072006,7091691375.388847
144,-93503755216.66306,25429542282.355293,7114007162.167488
145,-94859475310.82335,22671886911.573875,7128636114.38931
146,-96114657937.9264,19890193959.051693,7135710436.591703
147,-97269882019.30719,17087806305.186443,7135364359.934997
148,-98325793684.31714,14267962574.078852,7127733759.048979
149,-99283099909.35733,11433800454.02129,7112955811.12321
150,-100142562692.48875,8588360093.413036,7091168693.752328
151,-100904993728.79427,5734587540.924279,7062511318.272473
152,-101571249553.0044,2875338203.3877263,7027123095.548236
153,-102142227117.39455,13380299.006951809,6985143731.388154
154,-102618859774.56,-2848601712.9156775,6936713048.978435
155,-103002113636.33354,-5708003741.363416,6881970835.9275675
156,-103292984281.79317,-8562298724.971882,6821056713.70776
157,-103492493788.98645,-11409033355.847218,6754110027.461906
158,-103601688066.65253,-14245824874.225824,6681269754.316771
159,-103621634463.83568,-17070357940.573101,6602674428.504118
160,-103553419636.84381,-19880381590.179375,6518462081.741731
161,-103398147654.50319,-22673706273.996014,6428770197.465894
162,-103156938324.09041,-25448200988.336838,6333735677.636367
163,-102830925721.68196,-28201790495.12553,6233494820.954492
164,-102421256911.94736,-30932452633.5776,6128183311.445482
165,-101929090843.62555,-33638215723.5463,6017936216.457532
166,-101355597408.06522,-36317156060.21936,5902887993.223781
167,-100701956649.2805,-38967395499.41209,5783172503.218898
168,-99969358114.97691,-41587099132.349724,5658923033.62059
169,-99159000338.93976,-44174473048.55616,5530272325.2583
170,-98272090446.05363,-46727762185.257095,5397352606.497148
171,-97309843872.03868,-49245248261.555046,5260295632.565332
172,-96273484190.75137,-51725247795.533295,5119232729.888147
173,-95164243042.60757,-54166110202.389626,4974294845.041899
174,-93983360158.34781,-56566215971.6827,4825612597.986798
175,-92732083472.98068,-58923974921.78942,4673316339.279606
176,-91411669325.31578,-61237824529.716354,4517536211.004821
177,-90023382739.03261,-63506228334.47926,4358402211.197877
178,-88568497781.73251,-65727674412.35823,4196044261.5652995
179,-87048297998.8872,-67900673922.45044,4030592278.33548
180,-85464076920.03351,-70023759721.0757,3862176246.0997744
181,-83817138634.97218,-72095485043.74004,3690926294.5272627
182,-82108798438.1107,-74114422253.52943,3516972777.857929
183,-80340383539.4477,-76079161654.98718,3340446357.098348
184,-78513233841.03316,-77988310372.72533,3161478084.8613687
185,-76628702778.05363,-79840491294.232,2980199492.806883
186,-74688158223.98846,-81634342076.56232,2796742681.654628
187,-72692983459.56177,-83368514216.84225,2611240413.7522073
188,-70644578205.47699,-85041672186.77126,2423826208.192167
189,-68544359719.167046,-86652492631.58318,2234634438.4810467
190,-66393763956.02428,-88199663634.21553,2043800432.770911
191,-64194246795.79047,-89681884045.74658,1851460576.6698692
192,-61947285334.98896,-91097862883.48917,1657752418.652569
193,-59654379246.4676,-92446318798.481,1462814778.0944774
194,-57317052207.29315,-93725979614.48567,1266787855.9549086
