days,Position X (m),Position Y (m),Position Z (m)
113,1215551404874.4692,-943831262623.7645,-55903790373.56888
114,1216113008041.6943,-943053635153.796,-55902070163.644844
115,1216674279857.763,-942275750512.5112,-55900334683.2181
116,1217235220149.7126,-941497608894.7344,-55898583931.82681
117,1217795828744.7659,-940719210495.4769,-55896817909.018845
118,1218356105470.33,-939940555509.9376,-55895036614.35179
119,1218916050153.998,-939161644133.5021,-55893240047.392944
120,1219475662623.5479,-938382476561.7427,-55891428207.71931
121,1220034942706.9438,-937603052990.4181,-55889601094.917595
122,1220593890232.3362,-936823373615.4733,-55887758708.58424
123,1221152505028.0613,-936043438633.0393,-55885901048.32541
124,1221710786922.6418,-935263248239.4331,-55884028113.75695
125,1222268735744.788,-934482802631.157,-55882139904.50445
126,1222826351323.3965,-933702102004.8987,-55880236420.20321
127,1223383633487.5513,-932921146557.5311,-55878317660.49826
128,1223940582066.524,-932139936486.1122,-55876383625.04434
129,1224497196889.774,-931358471987.8843,-55874434313.50593
130,1225053477786.9485,-930576753260.2744,-55872469725.5572
131,1225609424587.883,-929794780500.8937,-55870489860.88207
132,1226165037122.602,-929012553907.5372,-55868494719.17419
133,1226720315221.3179,-928230073678.1841,-55866484300.13691
134,1227275258714.4326,-927447340010.9966,-55864458603.48333
135,1227829867432.5369,-926664353104.3207,-55862417628.93627
136,1228384141206.4111,-925881113156.685,-55860361376.22828
137,1228938079867.0256,-925097620366.8015,-55858289845.10163
138,1229491683245.54,-924313874933.5645,-55856203035.30833
139,1230044951173.3047,-923529877056.0505,-55854100946.610115
140,1230597883481.86,-922745626933.5186,-55851983578.77845
141,1231150480002.9373,-921961124765.4093,-55849850931.59454
142,1231702740568.4583,-921176370751.3452,-55847703004.84932
143,1232254665010.5361,-920391365091.1302,-55845539798.34345
144,1232806253161.475,-919606107984.7495,-55843361311.88734
145,1233357504853.7715,-918820599632.3691,-55841167545.3011
146,1233908419920.1128,-918034840234.3359,-55838958498.41462
147,1234458998193.379,-917248829991.1771,-55836734171.0675
148,1235009239506.6418,-916462569103.6003,-55834494563.10907
149,1235559143693.1665,-915676057772.4932,-55832239674.39841
150,1236108710586.41,-914889296198.923,-55829969504.80433
151,1236657940020.0222,-914102284584.1367,-55827684054.20538
152,1237206831827.8472,-913315023129.5605,-55825383322.48985
153,1237755385843.9216,-912527512036.7998,-55823067309.555756
154,1238303601902.476,-911739751507.6385,-55820736015.31086
155,1238851479837.9348,-910951741744.0394,-55818389439.67266
156,1239399019484.9167,-910163482948.1434,-55816027582.568405
157,1239946220678.2346,-909374975322.2697,-55813650443.93506
158,1240493083252.896,-908586219068.9149,-55811258023.719345
159,1241039607044.103,-907797214390.7538,-55808850321.877716
160,1241585791887.2532,-907007961490.6382,-55806427338.376366
161,1242131637617.939,-906218460571.5969,-55803989073.19123
162,1242677144071.9487,-905428711836.8359,-55801535526.30798
163,1243222311085.266,-904638715489.7375,-55799066697.72204
164,1243767138494.071,-903848471733.8606,-55796582587.438545
165,1244311626134.7395,-903057980772.94,-55794083195.472404
166,1244855773843.8438,-902267242810.8864,-55791568521.84824
167,1245399581458.1528,-901476258051.7863,-55789038566.60044
