,Position X (m),Position Y (m),Position Z (m)
42,367392734580.51105,-36780628889.4546,-6317081973.895675
43,370863387183.1296,-21600578344.410538,-6586157001.263043
44,373617225442.9593,-6378963653.093163,-6842498986.173992
45,375661514381.72186,8854538831.356339,-7085842073.926779
46,377004257216.8128,24071238164.608097,-7315947404.996937
47,377654127143.15265,39243390735.52525,-7532601338.918335
48,377620406681.57544,54344161263.975815,-7735613803.094678
49,376912933981.06116,69347583256.37395,-7924816769.08053
50,375542055307.79156,84228519405.8203,-8100062853.518606
51,373518583421.3498,98962622488.42773,-8261224024.62746
52,370853761656.4191,113526296929.91899,-8408190412.9283905
53,367559233189.2571,127896661164.04776,-8540869229.505037
54,363647014997.7885,142051510982.6201,-8659183787.216198
55,359129476148.34357,155969284054.42456,-8763072618.887066
56,354019320098.6965,169629025746.97452,-8852488687.551031
57,348329570735.1643,183010356353.8929,-8927398684.578398
58,342073561885.71625,196093439809.60522,-8987782411.97383
59,335264930075.2559,208858953957.80048,-9033632245.454193
60,327917610312.9411,221288062429.18854,-9064952675.206003
61,320045834724.1627,233362388177.13983,-9081759921.459633
62,311664133863.5966,245063988717.68677,-9084081622.275423
63,302787340575.2267,256375333114.27426,-9071956592.534954
64,293430596240.9535,267279280711.93515,-9045434653.806816
65,283609359280.797,277759061717.2621,-9004576526.533382
66,273339415880.2251,287798259708.6,-8949453787.658257
67,262636892869.48285,297380796153.05005,-8880148894.623951
68,251518272776.90933,306490916969.5677,-8796755282.694096
69,240000410906.05322,315113180994.6008,-8699377536.381437
70,228100554203.0175,323232450488.0155,-8588131616.567753
71,215836361989.62936,330833883963.7168,-8463145143.778555
72,203225928600.1947,337902931410.9982,-8324557747.411702
73,190287807843.51108,344425331984.3543,-8172521483.434322
74,177041039233.0608,350387114318.4453,-8007201321.670146
75,163505175958.54764,355774599650.8762,-7828775704.509934
76,149700314572.50473,360574407943.65564,-7637437178.875852
77,135647126351.78665,364773467209.5446,-7433393103.0859995
78,121366890276.58347,368359026274.43713,-7216866430.098807
79,106881527554.4851,371318671250.0711,-6988096568.852001
80,92213637626.55528,373640346005.152,-6747340329.994519
81,77386535508.37363,375312376904.143,-6494872952.876362
82,62424290333.99867,376323502235.1213,-6230989216.336525
83,47351764945.33925,376662906697.62195,-5956004637.655643
84,32194656308.797775,376320261359.05646,-5670256760.449891
85,16979536482.663956,375285769533.5609,-5374106531.027108
86,1733893785.925043,373550219105.0513,-5067939762.597987
87,-13513826219.016018,371105041893.64996,-4752168692.07498
88,-28734180314.762146,367942380623.57117,-4427233637.364143
89,-43896688321.49593,364055163927.2219,-4093604746.9593163
90,-58969795682.85966,359437189922.28656,-3751783822.7019057
91,-73920838815.30856,354083219081.1057,-3402306209.40211
92,-88716014136.46936,347989077083.00165,-3045742750.0741673
93,-103320351849.24377,341151768245.68945,-2682701797.56435
94,-117697695767.40952,333569600075.3906,-2313831265.5475473
95,-131810690688.23764,325242319425.5445,-1939820696.2573805
96,-145620779035.2367,316171260679.7059,-1561403319.3958502
97,-159088208724.53903,306359506208.55225,-1179358068.533064
98,-172172054471.71442,295812059223.8228,-794511516.5582078
99,-184830255007.14142,284536028872.89014,-407739680.6686609
100,-197019668944.8612,272540827129.77197,-19969639.503491938
101,-208696152302.52872,259838376665.47595,367819103.58876896
102,-219814660900.58832,246443328412.88333,754593587.8852333
103,-230329381059.52316,232373286976.05002,1139266781.8365011
104,-240193892140.58694,217649041358.27322,1520697490.0097206
105,-249361364518.02936,202294797689.50464,1897690893.7798185
106,-257784796529.06143,186338409769.9006,2268999847.524051
107,-265417293747.83807,169811602335.23962,2633327056.446516
108,-272212393462.67114,152750180910.53802,2989328266.9401693
109,-278124436515.44025,135194221013.12398,3335616603.548894
110,-283108987648.05505,117188228377.32066,3670768187.397579
111,-287123304160.7844,98781260819.00464,3993329168.8488903
112,-290126851051.0298,80027001434.88072,4301824292.248375
113,-292081858830.1104,60983772146.71039,4594767074.502445
114,-292953918043.00507,41714476451.2507,4870671621.5639105
115,-292712601807.0792,22286460521.015354,5128066057.871762
116,-291332104796.44055,2771282610.2573853,5365507487.58617
117,-288791884195.9221,-16755617758.925945,5581598336.45701
118,-285077285402.08514,-36215357026.453064,5775003841.443408
119,-280180132872.5473,-55526154264.14584,5944470367.868682
120,-274099264770.13882,-74603986336.27306,6088844147.905506
121,-266840989177.26157,-93363345945.06201,6207089956.305646
122,-258419439889.12927,-111718091817.84335,6298309175.447489
123,-248856811252.85663,-129582374972.70319,6361756655.019082
124,-238183454337.6289,-146871619938.84784,6396855745.3432045
125,-226437821087.79956,-163503535485.93738,6403210896.16919
126,-213666248783.44672,-179399126161.50363,6380617281.733249
127,-199922583700.8165,-194483674066.52307,6329067024.664026
128,-185267649957.26807,-208687660070.27667,6248751730.677638
129,-169768576357.77722,-221947595127.86084,6140061189.688789
130,-153498000459.54065,-234206735822.14426,6003578246.438843
131,-136533174426.60118,-245415663218.63385,5840070011.822449
132,-118955001070.88538,-255532710280.05215,5650475740.02209
133,-100847030609.75987,-264524229975.52893,5435891829.47121
134,-82294448992.57031,-272364703276.2633,5197554509.381562
135,-63383087254.928375,-279036692910.90283,4936820843.969953
136,-44198478478.089935,-284530654499.6821,4655148716.096031
137,-24824984715.62451,-288844621101.68475,4354076415.881301
138,-5345011021.577076,-291983780613.3556,4035202375.981527
139,14161681414.438496,-293959968010.8499,3700165562.6452446
140,33618555707.74966,-294791095068.45526,3350626999.6204185
141,52952770795.11788,-294500539139.7904,2988252780.998999
142,72095545876.8937,-293116510868.93506,2614698804.128532
143,90982423084.0774,-290671418361.9607,2231597339.39468
144,109553436379.12386,-287201243130.26874,1840545486.982891
145,127753196186.9029,-282744940293.6866,1443095528.9935598
146,145530900372.06912,-277343872489.5968,1040747100.4083521
147,162840282585.38123,-271041284358.15363,634941066.963248
148,179639508859.35178,-263881822048.26862,227054968.84123003
149,195891032811.24564,-255911100091.13602,-181600129.95813006
150,211561419013.26096,-247175316247.84427,-589781555.5976313
151,226621143117.40454,-237720913549.19,-996315871.5553343
152,241044376262.32047,-227594287686.5165,-1400098823.4854841
153,254808760209.82498,-216841537147.50787,-1800094536.7087631
154,267895178613.85886,-205508252978.93076,-2195334108.769663
155,280287528860.8071,-193639344759.23682,-2584913724.8547173
156,291972498080.0515,-181278899264.37277,-2967992405.9286823
157,302939346121.818,-168470068429.70883,-3343789479.9090376
158,313179697253.29926,-155254983241.40787,-3711581868.214441
159,322687341797.24927,-141674689916.0977,-4070701281.1671877
160,331458049163.7609,-127769105307.40778,-4420531365.576902
161,339489393002.3559,-113576989108.74744,-4760504834.914406
162,346780588502.489,-99135930324.50496,-5090100628.6987915
163,353332341761.7009,-84482345665.42151,-5408841136.520383
164,359146711020.4093,-69651487827.13913,-5716289510.613193
165,364226979423.74023,-54677461874.05255,-6012047083.972286
166,368577538861.2461,-39593248178.67968,-6295750906.093976
167,372203784360.3433,-24430730571.396057,-6567071404.475667
168,375112018463.19403,-9220728539.926126,-6825710176.793462
169,377309364993.4031,6006967516.719828,-7071397916.089904
170,378803691613.321,21223558828.468643,-7303892469.294394
171,379603540581.02435,36401199307.86524,-7522977027.924582
172,379718067134.6523,51512955722.402466,-7728458448.838876
173,379156984955.8695,66532767488.78618,-7920165702.291616
174,377930518194.6418,81435406505.59415,-8097948443.472974
175,376049359565.60333,96196437364.52658,-8261675702.05754
176,373524634059.98987,110792178238.24393,-8411234680.993957
177,370367867892.4143,125199662629.39902,-8546529659.778852
178,366590962154.2221,139396602080.29745,-8667481004.042933
179,362206170696.7057,153361350086.9875,-8774024275.071877
180,357226082033.1326,167072867464.09897,-8866109429.575262
181,351663605087.67346,180510689233.44382,-8943700107.107643
182,345531958530.5726,193654893053.3674,-9006773004.067904
183,338844663426.7005,206486069226.23752,-9055317331.269592
184,331615538959.1764,218985292332.93185,-9089334351.357944
185,323858701026.1136,231134094541.58154,-9108836992.652458
186,315588563537.67993,242914440633.36414,-9113849536.529852
187,306819842264.2183,254308704785.2099,-9104407375.96496
188,297567561106.1117,265299649148.8015,-9080556843.28853
189,287847060673.39197,275870404267.0948,-9042355105.608608
190,277674009082.39124,286004451378.12775,-8989870126.719936
191,267064414896.0201,295685606653.888,-8923180696.019482
192,256034642108.52237,304898007414.9398,-8842376522.487413
193,244601427126.34506,313626100406.7846,-8747558392.921638
194,232781897688.6425,321854632214.5275,-8638838394.535614
195,220593593668.66083,329568641921.3022,-8516340200.811895
196,208054489731.26465,336753456154.91125,-8380199421.6416855
197,195183019858.82364,343394686664.8214,-8230564023.061027
198,181998103729.13876,349478230525.6344,-8067594821.409717
199,168519174872.56943,354990273072.9905,-7891466051.293616
200,154766210520.9162,359917293756.12225,-7702366003.762253
201,140759763092.74698,364246075158.85895,-7500497734.167289
202,126520993282.89725,367963715457.12537,-7286079843.278696
203,112071704710.37259,371057644581.2117,-7059347336.218192
204,97434380047.96509,373515644366.6237,-6820552562.7974415
205,82632218524.76105,375325873006.86176,-6569966241.768082
206,67689174662.50958,376476894166.9267,-6307878571.160683
207,52629998090.0175,376957711156.5153,-6034600429.134861
208,37480274208.67617,376757806541.416,-5750464664.533031
209,22266465441.09967,375867187671.0453,-5455827477.548113
210,7015952749.996637,374276438623.8588,-5151069892.387136
211,-8242922957.7615795,371976779096.94135,-4836599322.325516
212,-23480820007.052277,368960130789.45966,-4512851226.032526
213,-38667356276.53973,365219191831.5276,-4180290851.0139112
214,-53771071360.39831,360747519835.19684,-3839415057.0328603
215,-68759391387.52039,355539624212.5758,-3490754212.9263797
216,-83598597442.44894,349591068410.8338,-3134874159.6968336
217,-98253798694.0635,342898582673.6588,-2772378229.0737724
218,-112688911523.2087,335460187902.85266,-2403909303.0394583
219,-126866646131.56094,327275331142.55237,-2030151896.087228
220,-140748502307.65823,318345033103.2102,-1651834234.8303895
221,-154294776257.10562,308672047962.14526,-1269730296.4320037
222,-167464580698.2826,298261035526.5983,-884661760.8104491
223,-180215880657.05478,287118745655.91736,-497499830.7567227
224,-192505547663.41592,275254214426.8019,-109166859.04631287
225,-204289435363.58585,262678971253.23517,279362278.2526105
226,-215522479773.70197,249407255735.30896,667059132.2231796
227,-226158827587.27206,235456242454.70163,1052841040.3542471
228,-236151996076.2857,220846271279.84946,1435570993.5841386
229,-245455068170.8369,205601079983.12616,1814058121.747606
230,-254020926228.6112,189748035108.8961,2187058918.0218225
231,-261802527745.15845,173318356046.20316,2553279332.729494
232,-268753225796.5378,156347326168.61038,2911377874.7916956
233,-274827136395.32602,138874483843.3021,3259969859.177413
234,-279979554038.3389,120943785091.21861,3597632932.6624775
235,-284167415440.86383,102603728664.76013,3922914000.65586
236,-287349809843.4094,83907433417.47649,4234337659.27319
237,-289488532310.0802,64912657256.15885,4530416208.354539
238,-290548673933.2347,45681746554.55365,4809661298.124612
239,-290499240647.33374,26281505124.40277,5070597183.8873825
240,-289313789340.0775,6782972741.897503,5311775516.968686
241,-286971067079.66156,-12738895411.7191,5531791527.757534
242,-283455636615.4339,-32205654751.20461,5729301370.248095
243,-278758468953.986,-51535905983.89122,5903040311.657925
244,-272877482026.0719,-70645937792.77107,6051841372.9218645
245,-265818003280.91092,-89450472094.74107,6174653963.079509
246,-257593133804.8575,-107863501640.16866,6270561968.02502
247,-248223993432.6011,-125799204978.3281,6338800659.859918
248,-237739829819.25168,-143172918487.71545,6378771807.621226
249,-226177978224.81793,-159902140360.37817,6390056436.821453
250,-213583663682.9522,-175907538153.38202,6372424723.3087
251,-200009643583.6805,-191113929630.2672,6325842576.151576
252,-185515695749.75238,-205451206296.9779,6250474585.057405
253,-170167964070.9783,-218855170496.98434,6146683157.909078
254,-154038180167.49878,-231268260109.67593,6015023841.260969
255,-137202784904.54677,-242640139647.2146,5856236981.425099
256,-119741977580.75034,-252928142534.04004,5671236040.956253
257,-101738722831.65198,-262097556060.68588,5461093010.073677
258,-83277745807.73424,-270121747464.24548,5227021456.933677
259,-64444544937.284424,-276982136197.65576,4970357829.844529
260,-45324448800.50307,-282668023303.80646,4692541651.924871
261,-26001739672.5124,-287176293566.182,4395095238.294904
262,-6558861539.03561,-290511009548.0253,4079603523.1615515
263,12924274743.054283,-292682918687.001,3747694515.4073606
264,32370881608.93013,-293708895370.00104,3401020815.202375
265,51707777525.40581,-293611339628.83936,3041242540.7382803
266,70865763413.97185,-292417552711.40234,2670011948.2323403
267,89779897177.4927,-290159106718.07465,2288959873.9732256
268,108389674391.89081,-286871223341.19275,1899683991.68467
269,126639124624.83066,-282592175150.3615,1503738932.3591423
270,144476833384.34753,-277362719290.0228,1102628240.7831922
271,161855900450.78632,-271225570412.01096,697798046.9094493
272,178733845416.67874,-264224917511.95172,290632309.754039
273,195072470751.9781,-256405987264.65747,-117550523.47283328
274,210837691955.85748,-247814654699.5929,-525499609.5312675
275,225999343419.32584,-238497100646.65887,-932032720.2002254
276,240530967591.9118,-228499514294.29593,-1336036335.2147079
277,254409593989.01212,-217867838410.8648,-1736464971.2771804
278,267615513542.29242,-206647554250.4765,-2132339889.7443857
279,280132052810.344,-194883502853.3027,-2522747312.3938847
280,291945351641.77026,-182619739303.42258,-2906836260.242989
281,303044147043.30725,-169899416461.03006,-3283816114.5393043
282,313419565314.885,-156764694712.82602,-3652953982.9823923
283,323064924002.39594,-143256674425.8661,-4013571941.2309413
284,331975544808.22003,-129415348055.81995,-4365044209.655154
285,340148578222.1984,-115279569180.67938,-4706794312.637146
286,347582840237.6398,-100887036064.08817,-5038292257.27283
287,354278661044.8264,-86274287527.09033,-5359051768.826438
288,360237745398.72363,-71476709041.70192,-5668627614.57836
289,365463044334.28467,-56528547144.32907,-5966613035.410312
290,369958637898.5146,-41462930576.38669,-6252637291.89237
291,373729628448.83026,-26311896831.382645,-6526363329.721183
292,376782043957.6774,-11106422959.625408,-6787485570.334199
293,379122750723.52203,4123540377.881609,-7035727830.97914
294,380759374887.1269,19349032476.071144,-7270841375.873528
295,381700232164.16205,34542044511.60018,-7492603097.844484
296,381954265223.7683,49675480449.595535,-7700813828.242781
297,381530988167.05994,64723117451.73238,-7895296771.822631
298,380440437589.8012,79659566217.20479,-8075896062.688673
299,378693129740.91437,94460231604.54582,-8242475438.042783
300,376300023284.34924,109101273820.05112,-8394917026.502946
301,373272487246.97424,123559570450.03252,-8533120241.744806
302,369622273822.98236,137812679506.03683,-8657000779.068787
303,365361495590.0482,151838803618.80142,-8766489712.387693
304,360502606798.179,165616755538.22693,-8861532683.982588
305,355058388475.68884,179125925062.1405,-8942089181.909222
306,349041937113.3749,192346247474.7205,-9008131902.023754
307,342466656689.5376,205258173549.3502,-9059646192.284807
308,335346253813.8899,217842641153.59564,-9096629577.49885
309,327694735780.8191,230081048482.06836,-9119091362.743952
310,319526411333.1313,241955228947.4761,-9127052312.523165
311,310855893964.2765,253447427779.8522,-9120544401.245092
312,301698107630.19183,264540280396.8436,-9099610630.93748
313,292068294777.00903,275216792602.1203,-9064304914.092907
314,281982026604.2227,285460322658.90234,-9014692021.154408
315,271455215489.97418,295254565291.49,-8950847592.535463
316,260504129525.97116,304583537660.8586,-8872858218.11972
317,249145409039.8413,313431567336.4178,-8780821581.870138
318,237396085082.9611,321783282422.74945,-8674846668.611423
319,225273599861.97314,329623603912.04755,-8555054038.457721
320,212795829064.92288,336937740362.67786,-8421576169.492028
321,199981106038.37033,343711185012.6914,-8274557869.545906
322,186848247752.2063,349929715448.90265,-8114156756.374782
323,173416582511.52322,355579396014.7599,-7940543806.379248
324,159705979402.17944,360646583172.06134,-7753903974.6098385
325,145736879448.85962,365117934029.1796,-7554436889.077474
326,131530328444.49721,368980418253.217,-7342357621.3835125
327,117108011383.94514,372221333601.3478,-7117897534.860656
328,102492288403.82437,374828325342.2828,-6881305211.573461
329,87706232106.64774,376789409891.58374,-6632847460.948722
330,72773666137.4024,378093003034.1459,-6372810414.523761
331,57719204868.185814,378727953131.50256,-6101500711.126652
332,42568294010.881966,378683579734.23505,-5819246775.073141
333,27347251918.441437,377949717985.3848,-5526400187.196041
334,12083311212.792835,376516769286.51263,-5223337141.026102
335,-3195339653.758713,374375758808.0486,-4910459984.572314
336,-18459515339.13466,371518400442.5621,-4588198851.543419
337,-33678993572.75917,367937169805.50806,-4257013383.9734683
338,-48822476775.37739,363625385899.8139,-3917394544.2877884
339,-63857556102.19652,358577302052.6084,-3569866511.046164
340,-78750678824.3671,352788206682.1679,-3214988646.767025
341,-93467120143.96495,346254534464.1253,-2853357522.3794184
342,-107970960712.59944,338973988498.32556,-2485608982.3394537
343,-122225071307.87369,330945674029.74457,-2112420231.6072874
344,-136191106335.07603,322170244176.7057,-1734511920.2006931
345,-149829508057.91895,312650057988.65314,-1352650194.5561838
346,-163099523714.3005,302389350984.6187,-967648677.7387562
347,-175959237936.12537,291394418099.098,-580370332.3731105
348,-188365623168.44504,279673808686.40356,-191729151.7821858
349,-200274611021.8234,267238532839.521,197308386.1741081
350,-211641187784.2423,254102277858.7342,585722177.4845291
351,-222419517519.3023,240281633193.21686,972437745.1443541
352,-232563096339.95642,225796321541.79175,1356325981.1266928
353,-242024941459.57748,210669433107.5304,1736203481.651681
354,-250757818365.72888,194927659017.8623,2110833606.9881122
355,-258714509356.13965,178601518644.6404,2478928420.6657724
356,-265848126817.31433,161725574840.84442,2839151629.070655
357,-272112473847.2116,144338630494.74445,3190122630.160751
358,-277462453497.90845,126483898370.7073,3530421813.2249
359,-281854526718.5809,108209134907.36339,3858597249.832339
360,-285247217650.69543,89566727798.47273,4173172890.320369
361,-287601663044.19745,70613726561.09654,4472658349.920593
362,-288882200278.4886,51411804949.23635,4755560331.088968
363,-289056985884.3549,32027144163.064728,5020395679.5075445
364,-288098633684.4674,12530226493.711105,5265706010.374294
365,-285984858679.2233,-7004469588.853146,5490073773.566637
366,-282699110059.434,-26498879767.674393,5692139539.234657
367,-278231174254.9384,-45871873452.0594,5870620199.366639
368,-272577726941.72324,-65039882620.727585,6024327695.251168
369,-265742811809.06003,-83917635451.79593,6152187798.694299
370,-257738223838.60886,-102418985223.75229,6253258405.806219
371,-248583776070.4442,-120457819710.76735,6326746753.1165285
372,-238307431461.16672,-137949031201.25266,6372024942.146985
373,-226945285593.44434,-154809522814.41226,6388643167.319877
374,-214541391633.5282,-170959223067.09738,6376340115.749079
375,-201147424646.48828,-186322077545.54434,6335050126.81299
376,-186822188466.6533,-200826986713.8612,6264906719.4067335
377,-171630976864.6748,-214408660990.2167,6166242254.203071
378,-155644807331.60413,-227008366178.83463,6039583741.605801
379,-138939550696.0179,-238574536922.99362,5885644936.402253
380,-121594984169.33046,-249063242076.51508,5705315017.852651
381,-103693797967.05824,-258438492508.69083,5499644298.121923
382,-85320586314.4497,-266672388886.07895,5269827489.05648
383,-66560852699.90552,-273745113749.3332,5017185132.7762575
384,-47500056537.73752,-279644778113.3247,4743143830.907304
385,-28222724388.760323,-284367137765.6247,4449215903.344463
386,-8811644104.431564,-287915198235.91583,4136979080.472286
387,10652844782.435863,-290298729791.77716,3808056775.7301264
388,30093456137.79023,-291533714653.23926,3464099396.300242
389,49436454332.90231,-291641748148.146,3106767045.7470045
390,68612044269.86968,-290649414119.93036,2737713870.9307733
391,87554658810.10844,-288587652815.90466,2358574211.735598
392,106203150853.6362,-285491136940.95184,1970950626.879597
393,124500899278.8175,-281397668793.8201,1576403796.2545803
394,142395839167.14413,-276347608683.0403,1176444248.7519655
395,159840427142.81448,-270383342189.005,772525833.6168908
396,176791552583.68152,-263548791089.22937,366040789.9002035
397,193210405127.7281,-255888970828.1844,-41683737.807385504
398,209062308057.88544,-247449595382.90625,-449387918.7340931
399,224316526413.55222,-238276728998.08835,-855880371.3546352
400,238946057645.27292,-228416483295.77588,-1260038370.9785328
401,252927411478.64444,-217914757448.2412,-1660807274.1526933
402,266240384566.3435,-206817018482.2525,-2057199300.0139651
403,278867834524.0926,-195168118403.2782,-2448291799.985323
404,290795457055.3878,-183012144656.91412,-2833225133.543694
405,302011569069.9183,-170392300424.58853,-3211200252.4693704
406,312506899997.97473,-157350811336.04007,-3581476081.080967
407,322274392900.17474,-143928855340.27853,-3943366766.197829
408,331309016465.14954,-130166512686.05286,-4296238858.178601
409,339607588568.3436,-116102733203.14116,-4639508473.572229
410,347168611719.7852,-101775318325.44797,-4972638480.75191
411,353992120450.14374,-87220915547.98447,-5295135740.334221
412,360079540422.30426,-72475023231.27515,-5606548426.668321
413,365433559017.32056,-57572003931.117325,-5906463447.97213
414,370058007004.6255,-42545104674.478935,-6194503978.251371
