,Position X (m),Position Y (m),Position Z (m)
3198,29538243413.034893,33262442046.117893,-90536183.83842312
3199,29558039433.857155,33273749340.712563,-90698620.48823805
3200,29577852631.41982,33285191484.876217,-90861349.93620849
3201,29597674765.678326,33296791721.073578,-91023177.77067704
3202,29617479462.282272,33308562479.37507,-91181892.8854215
3203,29637239760.94172,33320495640.884468,-91336004.94469228
3204,29656943239.141373,33332572173.59947,-91485412.10526243
3205,29676590004.766186,33344776714.82491,-91630811.36221623
3206,29696183935.813953,33357100979.556988,-91772987.45568354
3207,29715728190.72322,33369541209.83126,-91912565.39650439
3208,29735224259.79091,33382095581.480545,-92050002.95127037
3209,29754672301.999413,33394762690.605392,-92185637.24389619
3210,29774071772.94808,33407540841.444843,-92319728.29948883
3211,29793422027.416286,33420427816.90147,-92452490.71745406
3212,29812722801.169033,33433420925.53391,-92584116.12565613
3213,29831974552.47778,33446517165.508,-92714792.50547627
3214,29851178754.346947,33459713285.376293,-92844741.51179989
3215,29870338983.07518,33473005485.544647,-92974384.5312343
3216,29889464735.118626,33486393006.30388,-93104607.99574643
3217,29908563190.08701,33499885516.69362,-93235473.8348998
3218,29927635236.36709,33513494951.027294,-93366440.92365125
3219,29946674853.30684,33527236486.539413,-93496497.77370496
3220,29965663007.419426,33541121477.37597,-93623891.53296556
3221,29984574893.845146,33555144264.64012,-93746978.73932761
3222,30003396956.661037,33569285398.50595,-93865291.12391648
3223,30022129231.608032,33583526196.899513,-93979276.98101336
3224,30040777728.705555,33597854500.937527,-94089614.26152952
3225,30059349342.61752,33612263441.931526,-94196896.79718663
3226,30077850180.128174,33626749277.800148,-94301580.77021402
3227,30096285329.164543,33641309957.467632,-94404008.67946659
3228,30114659014.980095,33655944317.838875,-94504441.38601035
3229,30132974776.305607,33670651583.65488,-94603083.48936392
3230,30151235607.01364,33685430754.29838,-94700119.38118254
3231,30169445048.25078,33700279169.06488,-94795912.66623834
3232,30187612474.503105,33715195101.470795,-94891445.37544398
3233,30205745789.367214,33730184875.922306,-94987059.85288046
3234,30223849652.998272,33745254441.081818,-95082783.91360705
3235,30241929665.56261,33760411387.748287,-95178748.63161254
3236,30259990617.903793,33775668493.427338,-95274936.21429938
3237,30278030710.051327,33791045041.78151,-95370730.84912655
3238,30296033778.512955,33806560129.324806,-95464575.41312853
3239,30313973035.027496,33822217834.620865,-95554652.77032726
3240,30331828424.7729,33838005701.640743,-95640117.61707655
3241,30349592763.360954,33853908266.59129,-95721127.67775859
3242,30367265680.137096,33869914583.49771,-95798208.38515246
3243,30384848274.82752,33886018080.121174,-95871880.09424242
3244,30402341004.169224,33902214595.55635,-95942551.54429662
3245,30419743180.431015,33918500752.93489,-96010508.23865438
3246,30437052948.834606,33934872504.394444,-96075936.11011066
3247,30454268835.597782,33951322625.05627,-96139197.4461115
3248,30471396233.161274,33967844418.631695,-96201310.8521364
3249,30488438582.71074,33984437278.073242,-96262595.29106455
3250,30505397562.099155,34001098939.099014,-96323155.36722133
3251,30522276466.694145,34017826511.85502,-96383213.95246439
3252,30539080750.383083,34034618215.335304,-96443095.16588338
3253,30555817936.89284,34051475232.757057,-96503164.53102279
3254,30572496211.719864,34068404391.089897,-96563660.51937272
3255,30589119339.598606,34085420457.143494,-96624286.53640705
3256,30605677742.106785,34102541644.996998,-96683733.57408503
3257,30622148312.50675,34119774503.65745,-96740102.96625046
3258,30638510812.90516,34137107909.99807,-96792200.72777623
3259,30654757468.856983,34154524797.075256,-96839856.17313331
3260,30670888841.548553,34172011337.8131,-96883370.83034346
3261,30686908146.617493,34189558214.5151,-96923081.57733601
3262,30702818014.988956,34207158415.17036,-96959202.70604199
3263,30718622178.439754,34224802903.54233,-96992276.84990358
3264,30734330457.976414,34242487179.144833,-97023327.76490778
3265,30749948589.971207,34260211767.444164,-97052653.17061558
3266,30765480364.959084,34277976266.482693,-97080409.8804438
3267,30780929638.39724,34295779813.69215,-97106800.34457393
3268,30796300852.46676,34313621608.188934,-97132088.24505074
3269,30811599433.824074,34331501321.714943,-97156609.24344143
3270,30826832270.63084,34349419781.958717,-97180782.85065308
3271,30842008093.417114,34367380390.9053,-97205098.8878202
3272,30857136837.52202,34385391821.68914,-97229999.01078032
3273,30872225453.42637,34403471313.611015,-97255498.79280032
3274,30887268397.934345,34421642599.59725,-97280599.43909785
3275,30902243540.54746,34439921544.15637,-97303419.87572286
3276,30917126231.208042,34458305995.06355,-97322444.43105653
3277,30931901341.2592,34476784589.83973,-97337074.57678509
3278,30946560552.501984,34495345679.79502,-97347168.03615268
3279,30961100517.3501,34513975709.415985,-97353223.76942244
3280,30975525301.73172,34532666891.95659,-97356284.51384394
3281,30989835829.688873,34551416345.59375,-97356774.07246947
3282,31004031227.930717,34570220631.408035,-97354934.82827923
3283,31018110489.044514,34589075471.85752,-97350987.82414013
3284,31032073119.92814,34607975896.06491,-97345161.57404582
3285,31045919575.899513,34626916415.25203,-97337708.16864377
3286,31059651654.60679,34645891268.05405,-97328922.77418812
3287,31073272931.589397,34664894790.61104,-97319168.89594083
3288,31086789308.32371,34683922073.81478,-97308906.6887417
3289,31100209607.044464,34702970315.67592,-97298705.28897834
3290,31113545496.936295,34722041577.90598,-97289167.50501813
3291,31126808241.74351,34741146940.569824,-97280592.81683894
3292,31139999077.307346,34760306996.29699,-97272300.22668847
3293,31153101108.591885,34779539345.74431,-97262404.58589783
3294,31166088650.27838,34798843682.53517,-97248850.77095011
3295,31178946149.94357,34818202114.17701,-97231056.23034112
3296,31191673337.592697,34837599463.96779,-97209556.64695472
3297,31204272604.438034,34857026217.29834,-97184713.03906797
3298,31216747054.081085,34876475366.91873,-97156820.56256305
3299,31229100083.980114,34895941571.472496,-97126149.21961886
3300,31241335133.11742,34915420605.07634,-97092948.66784362
3301,31253455631.10848,34934908949.59855,-97057456.63490307
3302,31265465077.165703,34954403512.22264,-97019912.05769609
3303,31277367215.244278,34973901441.42305,-96980572.3149867
3304,31289166318.049934,34993400036.22321,-96939735.67174003
3305,31300867630.703613,35012896797.3305,-96897770.86256891
3306,31312478044.232677,35032389789.58185,-96855153.13186751
3307,31324006974.06191,35051878757.7892,-96812490.07749161
3308,31335466783.008415,35071367898.050476,-96770457.50091282
3309,31346869731.043816,35090870749.43309,-96729397.38570566
3310,31358216883.82874,35110409760.36703,-96688570.04159352
