,Position X (m),Position Y (m),Position Z (m)
4727,-364507598594.88934,865693089788.593,13290046014.166584
4728,-373770176167.5167,861694596111.4124,13363083723.03176
4729,-382978145231.9441,857590211276.4971,13434366495.91633
4730,-392130414957.71,853380689072.3915,13503888627.214434
4731,-401225904929.1416,849066791527.0856,13571644623.715271
4732,-410263545131.2822,844649288777.5245,13637629203.124174
4733,-419242275935.56146,840128958941.8754,13701837292.60532
4734,-428161048085.4465,835506587995.1016,13764264027.334393
4735,-437018822681.9696,830782969648.68,13824904749.024809
4736,-445814571167.7662,825958905235.218,13883755004.330154
4737,-454547275305.152,821035203593.2981,13940810543.205877
4738,-463215927151.74536,816012680947.0049,13996067317.59927
4739,-471819529039.9148,810892160786.069,14049521480.311573
4740,-480357093560.92944,805674473753.7023,14101169383.843397
4741,-488827643548.86255,800360457542.1766,14151007579.079348
4742,-497230212061.42145,794950956791.0049,14199032813.891848
4743,-505563842358.4724,789446822985.6462,14245242031.747757
4744,-513827587879.4146,783848914356.8646,14289632370.341421
4745,-522020512220.06555,778158095781.2163,14332201160.25556
4746,-530141689109.38934,772375238683.0255,14372945923.649334
4747,-538190202386.23413,766501220938.0828,14411864372.974838
4748,-546165145976.1605,760536926779.2046,14448954409.724611
4749,-554065623868.412,754483246703.7108,14484214123.213968
4750,-561890750093.1198,748341077382.8046,14517641789.404217
4751,-569639648699.1385,742111321572.916,14549235869.770746
4752,-577311453733.3457,735794888030.1963,14578995010.145824
4753,-584905309219.2391,729392691427.2886,14606918039.57142
4754,-592420369136.9799,722905652272.564,14633003969.211597
4755,-599855797403.0496,716334696834.3236,14657251991.144714
4756,-607210767844.6519,709680757064.922,14679661477.183662
4757,-614484464171.4276,702944770519.746,14700231977.932865
4758,-621676079952.8765,696127680276.607,14718963221.972174
4759,-628784818600.9989,689230434861.9556,14735855114.943048
4760,-635809893353.1318,682253988181.9126,14750907738.549797
4761,-642750527253.5156,675199299455.222,14764121349.556019
4762,-649605953134.087,668067333147.2518,14775496378.809381
4763,-656375413595.0514,660859058905.0319,14785033430.299047
4764,-663058160985.5355,653575451493.4406,14792733280.242733
4765,-669653457384.4519,646217490732.597,14798596876.200827
4766,-676160574581.6251,638786161436.4237,14802625336.218866
4767,-682578794059.3687,631282453352.2671,14804819948.003834
4768,-688907406975.4573,623707361102.3347,14805182168.081093
4769,-695145714145.2542,616061884126.2218,14803713620.98387
4770,-701293026024.5957,608347026623.4088,14800416098.525806
4771,-707348662694.7607,600563797497.4034,14795291559.075178
4772,-713311953849.7554,592713210301.7725,14788342126.83114
4773,-719182238786.0558,584796283189.6206,14779570091.05044
4774,-724958866391.0234,576814038866.7687,14768977905.236437
4775,-730641195125.424,568767504543.2423,14756568186.478827
4776,-736228593006.1342,560657711880.4102,14742343714.988386
4777,-741720437595.6411,552485696939.8845,14726307433.616682
4778,-747116115995.5048,544252500136.93085,14708462447.297173
4779,-752415024840.408,535959166196.81445,14688812022.464464
4780,-757616570291.9493,527606744112.67474,14667359586.487997
4781,-762720168032.2833,519196287104.32904,14644108727.12819
4782,-767725243257.8113,510728852577.74225,14619063192.015648
4783,-772631230673.2617,502205502084.9563,14592226888.153675
4784,-777437574487.344,493627301285.1855,14563603881.393557
4785,-782143728407.6206,484995319906.3394,14533198395.97068
4786,-786749155636.3499,476310631706.4023,14501014814.071932
4787,-791253328867.7246,467574314435.71344,14467057675.41163
4788,-795655730286.0857,458787449799.81647,14431331676.845087
4789,-799955851565.3602,449951123422.6925,14393841672.021576
4790,-804153193870.4807,441066424810.38995,14354592671.062778
4791,-808247267862.1252,432134447315.84204,14313589840.223541
4792,-812237593704.3613,423156288106.8848,14270838501.495434
4793,-816123701069.4033,414133048136.94556,14226344132.26088
4794,-819905129137.535,405065832113.1786,14180112365.13106
4795,-823581426599.6804,395955748461.8293,14132148987.840935
4796,-827152151665.3376,386803909294.5769,14082459943.084074
4797,-830616872073.532,377611430376.9534,14031051328.309092
4798,-833975165105.0002,368379431098.2307,13977929395.520716
4799,-837226617595.4321,359109034442.11194,13923100551.091106
4800,-840370825950.4202,349801366958.8121,13866571355.561365
4801,-843407396159.3866,340457558737.15326,13808348523.540234
4802,-846335943810.79,331078743376.52637,13748438923.597733
4803,-849156094108.5844,321666057959.33606,13686849578.161423
4804,-851867481889.5841,312220643023.7395,13623587663.432365
4805,-854469751641.6846,302743642536.5438,13558660509.324417
4806,-856962557522.9319,293236203866.1441,13492075599.429396
4807,-859345563381.4852,283699477755.3284,13423840571.010502
4808,-861618442776.7777,274134618293.6743,13353963215.020838
4809,-863780879002.9738,264542782889.365,13282451476.122467
4810,-865832565116.3319,254925132241.35684,13209313452.657717
4811,-867773203964.5171,245282830313.93323,13134557396.60337
4812,-869602508212.5515,235617044312.36926,13058191713.649416
4813,-871320200367.0671,225928944656.34116,12980224963.390759
4814,-872926012803.3921,216219704951.25052,12900665859.513855
4815,-874419687796.8319,206490501958.9748,12819523269.913134
4816,-875800977557.9492,196742515569.9477,12736806216.77016
4817,-877069644267.8226,186976928775.62463,12652523876.725946
4818,-878225460114.8701,177194927640.78134,12566685581.042223
4819,-879268207333.1924,167397701276.03848,12479300815.76272
4820,-880197678242.0222,157586441810.4537,12390379221.885374
4821,-881013675286.121,147762344363.99683,12299930595.545244
4822,-881716011077.0614,137926607019.7434,12207964888.207447
4823,-882304508435.3922,128080430795.6415,12114492206.871754
4824,-882779000433.7001,118225019615.72954,12019522814.293213
4825,-883139330440.583,108361580280.68758,11923067129.225046
4826,-883385352165.5874,98491322437.52869,11825135726.68833
4827,-883516929705.5431,88615458548.0559,11725739338.2594
4828,-883533937593.6624,78735203855.86061,11624888852.337027
4829,-883436260852.0731,68851776353.00691,11522595314.37033
4830,-883223795044.6267,58966396747.74552,11418869927.124952
4831,-882896446329.1162,49080288431.80132,11313724050.982233
4832,-882454131511.2438,39194677447.05194,11207169204.299904
4833,-881896778098.4761,29310792450.409935,11099217063.851711
4834,-881224324356.2532,19429864676.84562,10989879465.211721
4835,-880436719366.7677,9553127901.423843,10879168403.10289
4836,-879533923089.8451,-318181599.34272385,10767096031.734718
4837,-878515906425.5474,-10182825086.798498,10653674665.142302
4838,-877382651278.2517,-20039561400.184254,10538916777.53145
4839,-876134150622.0503,-29887146997.51023,10422835003.630924
4840,-874770408567.3762,-39724335997.35513,10305442139.051897
