,Position X (m),Position Y (m),Position Z (m)
60,-37190833910.129135,-104900141196.25401,-412238028.2024579
61,-9361669324.287968,-105140243853.13216,-2321192614.963706
62,19280330348.158726,-96508162660.76357,-4034474886.440489
63,45939016117.48413,-77821865213.41835,-5327436921.744884
64,66443671254.91879,-48664859366.04981,-5903128311.6639595
65,75164897728.73268,-10863921682.845856,-5428391454.114037
66,66861323971.980316,29376229993.484917,-3720576437.425334
67,41526915908.64882,62063545992.82203,-1062232061.7608423
68,6361208893.176483,79911157485.09497,1848054629.5851445
69,-29960030120.439835,82432194417.04198,4403332657.353932
70,-61884380657.838165,72968204962.70723,6318608885.382028
71,-86883309486.82231,55367091079.650826,7529972625.436475
72,-104121770314.43066,32827162441.45047,8070901782.801622
73,-113548546700.92271,7821413652.924709,8007925256.260937
74,-115447752415.44405,-17711586477.024956,7415364651.912167
75,-110247809136.33266,-42168987136.84476,6367901135.47572
76,-98458981902.04272,-64125055344.32259,4940796011.484458
77,-80682210065.76715,-82207572549.0513,3213994740.536865
78,-57673750077.1254,-94998223238.92802,1279367407.3830657
79,-30477804105.49445,-100955420769.5125,-748038003.7135248
80,-664888135.0594444,-98384229425.862,-2712846627.5955286
81,29265587889.319,-85547022147.67984,-4394965990.003875
82,55306221891.841324,-61176868352.55223,-5484531593.778882
83,71559284280.86063,-25916509796.31772,-5596516807.455524
84,71626030641.20937,15205890951.236778,-4435830676.657064
85,53491379576.21767,52390004228.2489,-2142235932.5814762
86,22738270540.174725,77050121837.4531,659424048.5622149
87,-12255988167.24438,86957826574.38081,3333285670.307675
88,-45396642471.19786,84248779022.59698,5523129247.107299
89,-73433952091.42302,72163271146.70178,7098530773.030773
90,-94899377398.92606,53652780153.31467,8042668251.909798
91,-109235500722.50507,31122126458.793476,8385532610.136376
92,-116320753127.86856,6524218019.93959,8174116298.435096
93,-116242999321.37953,-18485213598.039997,7461315229.851044
94,-109206418524.8351,-42405592550.25122,6303584088.923002
95,-95515055874.77237,-63768847009.86937,4763285109.2080965
96,-75615898589.50551,-81028553238.26468,2914772539.740552
97,-50213296417.074356,-92456908098.30952,855133283.9335029
98,-20497037958.530415,-96066100549.74669,-1277992721.716126
99,11439088908.244251,-89634428042.72968,-3278534946.453041
100,41922685018.41999,-71093195594.65576,-4836825433.8983345
101,65034510385.469406,-39866542992.22818,-5531854477.934277
102,73478312681.82211,409149658.34433746,-4967752628.770255
103,63307037663.25228,40528219157.485695,-3135357526.8150234
104,38259467926.091095,70958069321.0739,-560255540.2531662
105,6070413105.695995,87826551046.7271,2119060570.685917
106,-26879742360.5563,91980514068.70744,4490343777.209644
107,-56760824321.00192,85919366424.01646,6362506484.16349
108,-81536336956.96136,72223505790.12505,7669389153.24699
109,-100168608603.64363,53126922941.30461,8403312006.490845
110,-112136889541.37364,30512765183.055126,8582001597.789321
111,-117185361205.42674,6017971929.313477,8234325406.181987
112,-115203472749.78238,-18847138242.348564,7395497107.337828
113,-106184970470.93454,-42582294253.02243,6107576768.929498
114,-90247543068.49045,-63579791470.40794,4424141071.779209
115,-67724064137.68493,-79999797926.02887,2420052922.914253
116,-39370571267.893036,-89646085827.01222,209200343.6849451
117,-6783167909.713413,-89905623839.09822,-2025289083.1885223
118,26859274599.216103,-77991226273.81627,-3987141358.4976444
119,55865534333.79585,-52125173722.06018,-5236900649.114202
120,72340917719.32983,-14393370810.96357,-5293877812.332478
121,70563181212.29356,26973728003.48989,-3999929689.3519316
122,52274265223.75906,61887677105.571625,-1759860151.189651
123,24249539431.7362,84997423801.04099,811553913.0684156
124,-7112319441.391975,95831785010.1303,3263489058.6759243
125,-37565032836.06786,96047764992.93571,5352552526.309728
126,-64593394798.28142,87746797810.66269,6966291784.537714
127,-86725831162.16443,72897153572.49025,8059836480.746398
128,-103066077674.22887,53231417076.603546,8620975739.429842
129,-113026402600.47673,30297034225.666977,8653350026.320225
130,-116186583056.61075,5548583996.343777,8169422489.784257
131,-112230184852.7344,-19546590373.5641,7189113900.429411
132,-100939882329.22922,-43389192499.32701,5742858139.046776
133,-82261486741.74197,-64106756286.8111,3879979154.536215
134,-56482762725.530365,-79388628056.71123,1685590104.7460108
135,-24630871556.028484,-86340707907.0762,-688119461.7794228
136,10747513372.466335,-81571926210.92947,-2970995735.304696
137,44431017079.29528,-62170299905.11627,-4723581914.164698
138,68252398818.45247,-28576103026.250114,-5399947366.215625
139,74944709640.53604,12297075293.280197,-4699039949.370305
140,64182503374.00037,50218864936.05369,-2888335246.1982346
141,41505263910.34555,78585134809.91272,-533607404.802341
142,13062699398.202072,95632859079.57411,1894750449.7212214
143,-16664239717.743801,102111132532.59941,4111586188.021432
144,-44791054443.58354,99555266756.89893,5963165348.877075
145,-69477116726.19327,89584510801.39096,7369501196.366837
