,Position X (m),Position Y (m),Position Z (m)
35,4379538114492.3296,-1142258736895.4402,-72453711759.49419
36,4380869250155.2534,-1137728809775.042,-72450990723.53554
37,4382195693218.9375,-1133197663926.4448,-72448192107.9626
38,4383517442712.4395,-1128665304294.7988,-72445315922.99855
39,4384834497670.5986,-1124131735825.7656,-72442362178.95554
40,4386146857134.0317,-1119596963465.52,-72439330886.23479
41,4387454520149.1255,-1115060992160.751,-72436222055.32663
42,4388757485768.034,-1110523826858.663,-72433035696.81053
43,4390055753048.6733,-1105985472506.9768,-72429771821.35504
44,4391349321054.718,-1101445934053.9292,-72426430439.71776
45,4392638188855.6,-1096905216448.2765,-72423011562.74521
46,4393922355526.51,-1092363324639.297,-72419515201.3727
47,4395201820148.3926,-1087820263576.7998,-72415941366.62424
48,4396476581807.934,-1083276038211.1321,-72412290069.61299
49,4397746639597.5405,-1078730653493.1827,-72408561321.54108
50,4399011992615.3,-1074184114374.3818,-72404755133.69981
51,4400272639964.942,-1069636425806.6765,-72400871517.4699
52,4401528580755.848,-1065087592742.5117,-72396910484.32098
53,4402779814103.058,-1060537620134.8286,-72392872045.81108
54,4404026339127.288,-1055986512937.0695,-72388756213.58615
55,4405268154954.922,-1051434276103.1823,-72384562999.37996
56,4406505260718.004,-1046880914587.6218,-72380292415.01385
57,4407737655554.225,-1042326433345.3491,-72375944472.39673
58,4408965338606.914,-1037770837331.8287,-72371519183.52487
59,4410188309025.027,-1033214131503.026,-72367016560.48186
60,4411406565963.135,-1028656320815.4025,-72362436615.43846
61,4412620108581.415,-1024097410225.9122,-72357779360.65248
62,4413828936045.647,-1019537404691.9984,-72353044808.46857
63,4415033047527.202,-1014976309171.5923,-72348232971.3181
64,4416232442203.026,-1010414128623.1088,-72343343861.71947
65,4417427119255.643,-1005850868005.439,-72338377492.27745
66,4418617077873.149,-1001286532277.9587,-72333333875.68263
67,4419802317249.201,-996721126400.5387,-72328213024.71135
68,4420982836582.956,-992154655333.5404,-72323014952.22614
69,4422158635079.023,-987587124037.7886,-72317739671.17584
70,4423329711947.455,-983018537474.5415,-72312387194.59515
71,4424496066403.758,-978448900605.4778,-72306957535.60385
72,4425657697668.9,-973878218392.6926,-72301450707.40636
73,4426814604969.312,-969306495798.6946,-72295866723.29135
74,4427966787536.875,-964733737786.4012,-72290205596.63162
75,4429114244608.921,-960159949319.134,-72284467340.88387
76,4430256975428.214,-955585135360.6118,-72278651969.58852
77,4431394979242.948,-951009300874.9436,-72272759496.36964
78,4432528255306.737,-946432450826.6221,-72266789934.93466
79,4433656802878.6045,-941854590180.5189,-72260743299.07431
80,4434780621222.963,-937275723901.8743,-72254619602.6631
81,4435899709609.608,-932695856956.2804,-72248418859.65877
82,4437014067313.726,-928114994309.6755,-72242141084.10175
83,4438123693615.889,-923533140928.3391,-72235786290.11485
84,4439228587802.061,-918950301778.8921,-72229354491.90302
85,4440328749163.586,-914366481828.3029,-72222845703.7532
86,4441424176997.147,-909781686043.8868,-72216259940.03488
87,4442514870604.716,-905195919393.2826,-72209597215.2003
88,4443600829293.533,-900609186844.4199,-72202857543.78423
89,4444682052376.123,-896021493365.5012,-72196040940.40329
90,4445758539170.303,-891432843924.9933,-72189147419.75551
91,4446830288999.183,-886843243491.6216,-72182176996.61987
92,4447897301191.166,-882252697034.3633,-72175129685.85612
93,4448959575079.943,-877661209522.4402,-72168005502.4045
94,4450017110004.49,-873068785925.3116,-72160804461.28543
95,4451069905309.061,-868475431212.6702,-72153526577.59953
96,4452117960343.164,-863881150354.4291,-72146171866.5281
97,4453161274461.5625,-859285948320.707,-72138740343.33273
98,4454199847024.272,-854689830081.8196,-72131232023.35495
99,4455233677396.561,-850092800608.2693,-72123646922.0161
100,4456262764948.943,-845494864870.737,-72115985054.81712
101,4457287109057.189,-840896027840.0742,-72108246437.33833
102,4458306709102.325,-836296294487.2998,-72100431085.23901
103,4459321564470.632,-831695669783.6061,-72092539014.25732
104,4460331674553.614,-827094158700.3619,-72084570240.21059
105,4461337038747.949,-822491766209.0939,-72076524778.99571
106,4462337656455.457,-817888497281.4539,-72068402646.589
107,4463333527083.111,-813284356889.1954,-72060203859.04562
108,4464324650043.05,-808679350004.1603,-72051928432.4991
109,4465311024752.582,-804073481598.2684,-72043576383.16098
110,4466292650634.197,-799466756643.5106,-72035147727.32043
111,4467269527115.566,-794859180111.9459,-72026642481.34418
112,4468241653629.528,-790250756975.6918,-72018060661.67702
113,4469209029614.086,-785641492206.9104,-72009402284.84161
114,4470171654512.411,-781031390777.8004,-72000667367.43825
115,4471129527772.844,-776420457660.5885,-71991855926.1447
116,4472082648848.887,-771808697827.5201,-71982967977.71626
117,4473031017199.209,-767196116250.8503,-71974003538.98564
118,4473974632287.645,-762582717902.8334,-71964962626.86284
119,4474913493583.198,-757968507755.7133,-71955845258.335
120,4475847600560.059,-753353490781.7191,-71946651450.46617
121,4476776952697.606,-748737671953.0691,-71937381220.39714
122,4477701549480.399,-744121056241.9784,-71928034585.34581
123,4478621390398.123,-739503648620.6492,-71918611562.60783
124,4479536474945.567,-734885454061.2434,-71909112169.55663
125,4480446802622.627,-730266477535.8596,-71899536423.64302
126,4481352372934.319,-725646724016.5189,-71889884342.39468
127,4482253185390.8,-721026198475.1627,-71880155943.41576
128,4483149239507.35,-716404905883.6456,-71870351244.38734
129,4484040534804.38,-711782851213.7236,-71860470263.06725
130,4484927070807.4375,-707160039437.0468,-71850513017.28975
131,4485808847047.203,-702536475525.1515,-71840479524.96553
132,4486685863059.495,-697912164449.4537,-71830369804.0816
133,4487558118385.267,-693287111181.2411,-71820183872.70131
134,4488425612570.609,-688661320691.665,-71809921748.96434
135,4489288345166.752,-684034797951.7329,-71799583451.08673
136,4490146315730.0625,-679407547932.2997,-71789168997.36087
137,4490999523822.055,-674779575604.0598,-71778678406.1553
138,4491847969009.398,-670150885937.5421,-71768111695.91458
139,4492691650863.9375,-665521483903.1134,-71757468885.15898
140,4493530568962.675,-660891374470.989,-71746749992.48483
141,4494364722887.733,-656260562611.2288,-71735955036.56494
142,4495194112226.325,-651629053293.7139,-71725084036.14864
143,4496018736570.753,-646996851488.1301,-71714137010.06133
144,4496838595518.408,-642363962163.9528,-71703113977.20482
145,4497653688671.774,-637730390290.4321,-71692014956.55699
146,4498464015638.44,-633096140836.5845,-71680839967.17152
147,4499269576031.105,-628461218771.1846,-71669589028.17778
148,4500070369467.582,-623825629062.7593,-71658262158.78075
149,4500866395570.802,-619189376679.5803,-71646859378.26103
150,4501657653968.816,-614552466589.6587,-71635380705.97485
151,4502444144294.802,-609914903760.7379,-71623826161.35408
152,4503225866187.057,-605276693160.2876,-71612195763.90625
153,4504002819289.007,-600637839755.4968,-71600489533.21463
154,4504775003249.205,-595998348513.2662,-71588707488.93819
155,4505542417721.338,-591358224400.1996,-71576849650.81155
156,4506305062364.237,-586717472382.5969,-71564916038.64487
157,4507062936841.901,-582076097426.4541,-71552906672.32358
158,4507816040823.505,-577434104497.4736,-71540821571.80829
159,4508564373983.369,-572791498561.0754,-71528660757.1355
160,4509307936000.917,-568148284582.381,-71516424248.4184
161,4510046726560.663,-563504467526.1912,-71504112065.84668
162,4510780745352.221,-558860052356.9718,-71491724229.68626
163,4511509992070.3125,-554215044038.8442,-71479260760.27904
164,4512234466414.773,-549569447535.57776,-71466721678.04274
165,4512954168090.559,-544923267810.58325,-71454107003.47081
166,4513669096807.745,-540276509826.90686,-71441416757.13231
167,4514379252281.536,-535629178547.22406,-71428650959.67189
168,4515084634232.263,-530981278933.8337,-71415809631.80977
169,4515785242385.386,-526332815948.6522,-71402892794.34177
170,4516481076471.498,-521683794553.208,-71389900468.13931
171,4517172136226.326,-517034219708.6354,-71376832674.14952
172,4517858421390.731,-512384096375.66815,-71363689433.3952
173,4518539931710.712,-507733429514.63116,-71350470766.97485
174,4519216666937.423,-503082224085.4323,-71337176696.06206
175,4519888626827.201,-498430485047.56976,-71323807241.9054
176,4520555811141.561,-493778217360.1425,-71310362425.82884
177,4521218219647.163,-489125425981.8568,-71296842269.23227
178,4521875852115.782,-484472115871.0154,-71283246793.59169
179,4522528708324.29,-479818291985.4993,-71269576020.4592
180,4523176788054.653,-475163959282.7533,-71255829971.46277
181,4523820091093.939,-470509122719.7741,-71242008668.306
182,4524458617234.324,-465853787253.1015,-71228112132.76802
183,4525092366273.092,-461197957838.8104,-71214140386.7034
184,4525721338012.642,-456541639432.5038,-71200093452.04205
185,4526345532260.493,-451884836989.30615,-71185971350.78925
186,4526964948829.287,-447227555463.858,-71171774105.02557
187,4527579587536.787,-442569799810.30994,-71157501736.907
188,4528189448205.884,-437911574982.31744,-71143154268.66489
189,4528794530664.592,-433252885933.0335,-71128731722.60605
190,4529394834746.06,-428593737615.1,-71114234121.11235
191,4529990360288.581,-423934134980.64703,-71099661486.64069
192,4530581107135.595,-419274082981.2863,-71085013841.72325
193,4531167075135.704,-414613586568.10614,-71070291208.96732
194,4531748264142.693,-409952650691.6798,-71055493611.05525
195,4532324674015.511,-405291280302.07635,-71040621070.74495
196,4532896304618.235,-400629480348.8557,-71025673610.87033
197,4533463155820.059,-395967255781.0551,-71010651254.34132
198,4534025227495.283,-391304611547.17664,-70995554024.1438
199,4534582519523.326,-386641552595.17737,-70980381943.33942
200,4535135031788.718,-381978083872.46155,-70965135035.06549
201,4535682764181.109,-377314210325.87354,-70949813322.53491
202,4536225716595.271,-372649936901.6911,-70934416829.03606
203,4536763888931.097,-367985268545.61926,-70918945577.93272
204,4537297281093.601,-363320210202.78394,-70903399592.66415
