,Position X (m),Position Y (m),Position Z (m)
72,18052555001.360786,148127363866.90176,-7734700.650025606
73,-7226194786.552113,151672173653.56912,-7862166.448009456
74,-32290184239.57573,150932176860.4505,-7972151.633064105
75,-56476939737.77603,146136997819.84546,-8067408.127924784
76,-79205428931.2358,137591238326.00226,-8150799.629035389
77,-99974021269.68057,125654638143.14452,-8225226.601364426
78,-118355865062.88701,110727034943.8353,-8293576.397569889
79,-133993293467.81552,93237518934.23576,-8358684.869622948
80,-146592343661.43182,73637023927.00436,-8423286.7539146
81,-155918086395.05487,52393594674.006775,-8489934.681163253
82,-161791204144.66876,29989633424.76338,-8560925.320478166
83,-164086095402.17847,6920502970.56617,-8638289.34230187
84,-162730690841.21307,-16306080986.422943,-8723910.82923955
85,-157708115971.14572,-39170415025.97125,-8819779.876701565
86,-149060298792.0714,-61141502009.09668,-8928278.859036986
87,-136893573580.08327,-81678718609.26677,-9052331.377455937
88,-121386243116.51247,-100235223426.27892,-9195225.042287678
89,-102797894436.807,-116264034730.32452,-9360114.298604526
90,-81479971179.56128,-129227882430.44774,-9549560.28305824
91,-57886636790.60927,-138614071694.53036,-9765378.366231948
92,-32584274665.04261,-143955579317.15814,-10008648.483532075
93,-6257068705.7672615,-144859266895.36392,-10279679.171685087
94,20294894090.7882,-141041207811.76132,-10577882.893904593
95,46169349099.59768,-132367460501.08276,-10901613.562498862
96,70391772488.0776,-118896110948.40573,-11248016.879890665
97,91964339589.40302,-100913407430.80305,-11612933.010162462
98,109933117175.34662,-78954353343.61581,-11990958.54141015
99,123467090521.00232,-53797862719.77859,-12375712.091171233
100,131936701376.27475,-26430064473.774284,-12760321.786193386
101,134976178350.84367,2023311055.9746323,-13138142.571553588
102,132515714443.26431,30385601213.40738,-13503670.823071733
103,124776790998.01254,57522574264.35976,-13852748.565898847
104,112233796328.2232,82423304749.81538,-14179690.253634123
105,95553040335.35222,104256393676.28839,-14478940.750616148
106,75523373387.17456,122397467635.44008,-14748079.638470028
107,52990871962.74707,136431096712.45847,-14986837.034207992
108,28805374258.558353,146134385146.1369,-15196263.143276764
109,3781768680.263191,151450346991.36493,-15378297.38983507
110,-21324646012.77783,152457837395.66357,-15535489.322954107
111,-45831320286.02115,149342639113.7627,-15670785.253894545
112,-69133287884.61444,142372240680.2806,-15787333.083918104
113,-90702591900.37938,131875300689.65413,-15888264.70640836
114,-110084644324.72269,118225824251.4565,-15976491.483869193
115,-126893234901.44943,101831565861.20752,-16054591.839680726
116,-140805368714.5344,83125965203.68977,-16124925.679245014
117,-151556707991.9354,62562887130.48815,-16189996.910688972
118,-158938116673.3126,40613481969.30454,-16252848.439941542
119,-162793631563.28253,17764549123.97572,-16317221.12704463
120,-163020082154.74023,-5482158700.557034,-16387377.949621346
121,-159568525041.7998,-28610230643.795845,-16467707.755729195
122,-152447623113.88385,-51089052196.28503,-16562369.796913609
123,-141729058690.79984,-72375048028.46326,-16675158.99299482
124,-127554993959.72406,-91914462065.79242,-16809528.44248385
125,-110147445269.50298,-109148589090.66223,-16968622.760242112
126,-89819173177.40347,-123522561733.03397,-17155251.232908748
127,-66985253365.92725,-134498960828.39497,-17371799.304369565
128,-42173836089.813736,-141577559259.77893,-17620080.26183241
129,-16033710798.542473,-144322267158.5742,-17901113.794848323
130,10664746112.442875,-142395592812.91364,-18214875.285411034
131,37039580675.08972,-135599420279.00142,-18560041.320415653
132,62122837933.01078,-123918504874.20473,-18933766.69948286
133,84905180280.12726,-107560050858.65413,-19331549.044294883
134,104399783998.32263,-86979968152.20894,-19747248.42781107
135,119720385910.98045,-62885504608.293526,-20173322.07275419
136,130162193790.31012,-36206610871.22686,-20601303.41762865
137,135270156738.12735,-8035127778.761799,-21022512.689491514
138,134879692350.12514,20460143183.16992,-21428968.554254986
139,129121263337.07425,48127077448.25779,-21814446.277031917
140,118389845883.47478,73915072592.94833,-22174746.805734288
141,103289005053.01181,96937606312.86795,-22504843.172767326
142,84563447045.599,116506643042.66084,-22799391.881695416
143,63032956091.01213,132140642173.24408,-23056076.15204098
144,39536520234.960846,143552714777.67923,-23275150.560953494
145,14890519953.731323,150626884026.30215,-23458371.351576764
146,-10139006305.920696,153389463479.32938,-23608257.530743476
147,-34852214033.95094,151980549510.22888,-23727644.497394737
148,-58622421119.92842,146628551322.56482,-23819650.372772526
149,-80897106010.97333,137629059463.28076,-23887911.32787337
150,-101195347890.33893,125328291951.85178,-23936681.622670494
151,-119103520887.52861,110110766270.09492,-23970704.621474653
152,-134270515282.33864,92390579690.14105,-23994991.07132004
153,-146403340243.54642,72605608260.36203,-24014572.33385228
154,-155263668998.77023,51213958933.8776,-24034270.705190703
155,-160665698053.3922,28692066471.012287,-24058578.034155004
156,-162475579804.32193,5533878786.962822,-24091676.64802159
157,-160612625970.46606,-17749400958.02851,-24137530.660898797
158,-155052442955.9071,-40629563084.68143,-24199973.63351517
159,-145832124556.28918,-62562242767.721436,-24282760.871026162
160,-133057563339.61017,-82989102514.87924,-24389548.36607851
161,-116912814536.53407,-101342240899.50244,-24523800.36018161
162,-97671209877.04173,-117051922899.4513,-24688663.670851156
