,Position X (m),Position Y (m),Position Z (m)
112,2597529833367.741,1503190265031.8435,-31054848532.824764
113,2594887567453.378,1508668701303.953,-31041570224.42305
114,2592235764689.687,1514141588072.6057,-31028177917.08576
115,2589574439184.691,1519608907783.2148,-31014671712.153397
116,2586903605082.4355,1525070642924.1968,-31001051711.47075
117,2584223276562.776,1530526776027.0098,-30987318017.384533
118,2581533467841.1606,1535977289666.195,-30973470732.740856
119,2578834193168.4175,1541422166459.4275,-30959509960.882275
120,2576125466830.558,1546861389067.583,-30945435805.64434
121,2573407303148.623,1552294940194.8157,-30931248371.352535
122,2570679716478.5366,1557722802588.5889,-30916947762.821796
123,2567942721210.8696,1563144959039.6292,-30902534085.357876
124,2565196331770.5215,1568561392381.8943,-30888007444.75605
125,2562440562616.4346,1573972085492.6072,-30873367947.296978
126,2559675428241.3584,1579377021292.3274,-30858615699.74148
127,2556900943171.666,1584776182745.0308,-30843750809.326183
128,2554117121967.1367,1590169552858.1384,-30828773383.762672
129,2551323979220.722,1595557114682.5664,-30813683531.233498
130,2548521529558.338,1600938851312.7837,-30798481360.38832
131,2545709787638.654,1606314745886.865,-30783166980.340633
132,2542888768152.885,1611684781586.5398,-30767740500.664726
133,2540058485824.578,1617048941637.2412,-30752202031.392788
134,2537218955409.401,1622407209308.1558,-30736551683.01208
135,2534370191694.9263,1627759567912.2722,-30720789566.46218
136,2531512209500.419,1633106000806.4348,-30704915793.13218
137,2528645023676.6265,1638446491391.4033,-30688930474.857605
138,2525768649105.582,1643781023111.928,-30672833723.916912
139,2522883100700.45,1649109579456.8406,-30656625653.028046
140,2519988393405.395,1654432143959.1128,-30640306375.347164
141,2517084542195.3765,1659748700195.8333,-30623876004.469387
142,2514171562075.864,1665059231788.1814,-30607334654.426865
143,2511249468082.596,1670363722401.465,-30590682439.684986
144,2508318275281.336,1675662155745.1428,-30573919475.140728
145,2505377998767.627,1680954515572.8774,-30557045876.11816
146,2502428653666.583,1686240785682.6008,-30540061758.364185
147,2499470255132.6807,1691520949916.576,-30522967238.044846
148,2496502818349.5557,1696794992161.4578,-30505762431.741932
149,2493526358529.8027,1702062896348.354,-30488447456.449783
150,2490540890914.7773,1707324646452.884,-30471022429.57229
151,2487546430774.402,1712580226495.2383,-30453487468.920017
152,2484542993406.9707,1717829620540.2346,-30435842692.707508
153,2481530594138.9585,1723072812697.3735,-30418088219.550613
154,2478509248324.827,1728309787120.8926,-30400224168.463875
155,2475478971346.832,1733540528009.8245,-30382250658.8577
156,2472439778614.838,1738765019608.0662,-30364167810.535114
157,2469391685566.164,1743983246204.471,-30345975743.68823
158,2466334707665.471,1749195192132.9375,-30327674578.895336
159,2463268860404.6387,1754400841772.4275,-30309264437.122242
160,2460194159302.509,1759600179546.912,-30290745439.723736
161,2457110619904.6304,1764793189925.3838,-30272117708.440434
162,2454018257783.0435,1769979857421.903,-30253381365.39509
163,2450917088536.0815,1775160166595.6523,-30234536533.089153
164,2447807127788.185,1780334102050.9897,-30215583334.399525
165,2444688391189.7144,1785501648437.5022,-30196521892.57538
166,2441560894416.766,1790662790450.0562,-30177352331.2351
167,2438424653170.9917,1795817512828.8486,-30158074774.363297
168,2435279683179.417,1800965800359.4553,-30138689346.3079
169,2432126000194.2607,1806107637872.8787,-30119196171.777386
170,2428963619992.758,1811243010245.5957,-30099595375.83811
171,2425792558376.978,1816371902399.604,-30079887083.911774
172,2422612831173.6475,1821494299302.467,-30060071421.77293
173,2419424454233.963,1826610185967.3613,-30040148515.54622
174,2416227443433.425,1831719547453.153,-30020118491.701817
175,2413021814671.737,1836822368864.4956,-29999981477.05313
176,2409807583872.6963,1841918635351.8828,-29979737598.756924
177,2406584766984.054,1847008332111.6523,-29959386984.3136
178,2403353379977.306,1852091444385.952,-29938929761.56677
179,2400113438847.4683,1857167957462.7322,-29918366058.700886
180,2396864959612.876,1862237856675.7651,-29897696004.238277
181,2393607958314.9937,1867301127404.6733,-29876919727.036156
182,2390342451018.229,1872357755074.9612,-29856037356.2837
183,2387068453809.75,1877407725158.0486,-29835049021.499146
184,2383785982799.3027,1882451023171.3076,-29813954852.52691
185,2380495054119.034,1887487634678.1006,-29792754979.534767
186,2377195683923.317,1892517545287.8188,-29771449533.011124
187,2373887888388.577,1897540740655.922,-29750038643.762417
188,2370571683713.125,1902557206483.9756,-29728522442.910633
189,2367247086116.9766,1907566928519.6826,-29706901061.890724
190,2363914111841.6846,1912569892556.9365,-29685174632.446304
191,2360572777150.2134,1917566084435.8809,-29663343286.6276
192,2357223098326.777,1922555490042.934,-29641407156.79049
193,2353865091676.693,1927538095310.8518,-29619366375.593483
194,2350498773526.286,1932513886218.7988,-29597221075.99584
195,2347124160222.778,1937482848792.3635,-29574971391.258
196,2343741268134.1035,1942444969103.5251,-29552617454.94159
197,2340350113648.709,1947400233270.6382,-29530159400.907528
198,2336950713175.369,1952348627458.4434,-29507597363.313557
199,2333543083143.015,1957290137878.0852,-29484931476.611828
200,2330127240000.568,1962224750787.1313,-29462161875.546543
201,2326703200216.772,1967152452489.591,-29439288695.151558
202,2323270980280.029,1972073229335.9338,-29416312070.747917
203,2319830596698.23,1976987067723.1072,-29393232137.941383
204,2316382065998.5874,1981893954094.553,-29370049032.61999
205,2312925404727.458,1986793874940.2205,-29346762890.951336
206,2309460629450.168,1991686816796.6018,-29323373849.377693
207,2305987756750.889,1996572766246.78,-29299882044.61383
208,2302506803232.4785,2001451709920.4346,-29276287613.646076
209,2299017785516.309,2006323634493.8604,-29252590693.729855
210,2295520720242.1123,2011188526690.0,-29228791422.386806
211,2292015624067.8457,2016046373278.498,-29204889937.40184
212,2288502513669.6045,2020897161075.7666,-29180886376.821358
213,2284981405741.5283,2025740876944.9983,-29156780878.953743
214,2281452316995.6387,2030577507796.1233,-29132573582.369522
215,2277915264161.6494,2035407040585.776,-29108264625.89958
216,2274370263986.789,2040229462317.2825,-29083854148.63273
217,2270817333235.6333,2045044760040.6597,-29059342289.913406
218,2267256488689.943,2049852920852.61,-29034729189.339504
219,2263687747148.4956,2054653931896.5193,-29010014986.76031
220,2260111125426.917,2059447780362.449,-28985199822.27454
221,2256526640357.4907,2064234453487.127,-28960283836.227642
222,2252934308788.987,2069013938553.9778,-28935267169.206444
223,2249334147586.5327,2073786222893.1487,-28910149962.037582
224,2245726173631.448,2078551293881.5068,-28884932355.786037
225,2242110403821.0815,2083309138942.6472,-28859614491.75269
226,2238486855068.648,2088059745546.9026,-28834196511.471676
227,2234855544303.0713,2092803101211.3572,-28808678556.707684
228,2231216488468.832,2097539193499.867,-28783060769.45303
229,2227569704525.8335,2102268010023.1025,-28757343291.924618
230,2223915209449.3154,2106989538438.6082,-28731526266.562042
231,2220253020229.771,2111703766450.819,-28705609836.028053
232,2216583153872.8013,2116410681811.0178,-28679594143.20896
233,2212905627398.937,2121110272317.295,-28653479331.2131
234,2209220457843.4683,2125802525814.5337,-28627265543.368584
235,2205527662256.2944,2130487430194.4028,-28600952923.221428
236,2201827257701.7734,2135164973395.3423,-28574541614.534286
237,2198119261258.5464,2139835143402.5334,-28548031761.284378
238,2194403690019.3787,2144497928247.9153,-28521423507.658367
239,2190680561091.0361,2149153316010.191,-28494716998.05105
240,2186949891594.1309,2153801294814.8074,-28467912377.06402
241,2183211698662.96,2158441852833.941,-28441009789.50345
242,2179465999445.3445,2163074978286.4878,-28414009380.377544
243,2175712811102.4705,2167700659438.057,-28386911294.893894
244,2171952150808.728,2172318884600.9656,-28359715678.45672
245,2168184035751.5525,2176929642134.239,-28332422676.664
246,2164408483131.2703,2181532920443.6194,-28305032435.30438
247,2160625510160.9644,2186128707981.5974,-28277545100.353867
248,2156835134066.3877,2190716993247.469,-28249960817.973724
249,2153037372085.8965,2195297764787.3552,-28222279734.510944
250,2149232241470.327,2199871011194.1543,-28194501996.499012
251,2145419759482.828,2204436721107.4854,-28166627750.656822
252,2141599943398.7004,2208994883213.6494,-28138657143.887234
253,2137772810505.2205,2213545486245.578,-28110590323.27517
254,2133938378101.4744,2218088518982.833,-28082427436.082222
255,2130096663498.239,2222623970251.602,-28054168629.744965
256,2126247684017.8367,2227151828924.671,-28025814051.873924
257,2122391456993.9807,2231672083921.3916,-27997363850.25185
258,2118527999771.619,2236184724207.658,-27968818172.831715
259,2114657329706.7754,2240689738795.8813,-27940177167.734478
260,2110779464166.3923,2245187116744.9683,-27911440983.246727
261,2106894420528.1711,2249676847160.3057,-27882609767.818153
262,2103002216180.4143,2254158919193.743,-27853683670.058872
263,2099102868521.8662,2258633322043.5806,-27824662838.73648
264,2095196394961.5576,2263100044954.5654,-27795547422.77277
265,2091282812918.6667,2267559077217.914,-27766337571.240105
266,2087362139822.4312,2272010408171.3657,-27737033433.358902
267,2083434393112.0952,2276454027199.2134,-27707635158.498177
268,2079499590236.8103,2280889923732.254,-27678142896.177696
269,2075557748655.4568,2285318087247.692,-27648556796.068233
270,2071608885836.4563,2289738507269.1113,-27618877007.986076
271,2067653019257.6458,2294151173366.475,-27589103681.890408
272,2063690166406.1487,2298556075156.1045,-27559236967.881992
273,2059720344778.243,2302953202300.6543,-27529277016.201706
274,2055743571879.2275,2307342544509.0825,-27499223977.22903
275,2051759865223.2854,2311724091536.619,-27469078001.480465
276,2047769242333.3435,2316097833184.7295,-27438839239.60781
277,2043771720740.9287,2320463759301.08,-27408507842.39629
278,2039767317986.019,2324821859779.5015,-27378083960.762455
279,2035756051616.8928,2329172124559.952,-27347567745.751877
280,2031737939189.972,2333514543628.4873,-27316959348.536537
281,2027712998269.6633,2337849107017.228,-27286258920.411854
282,2023681246428.1997,2342175804804.346,-27255466612.793163
283,2019642701245.4998,2346494627114.0776,-27224582577.21186
284,2015597380309.0872,2350805564116.771,-27193606965.313694
285,2011545301214.0227,2355108606028.8857,-27162539928.860386
286,2007486481562.7952,2359403743112.9585,-27131381619.72807
287,2003420938965.1929,2363690965677.5474,-27100132189.90654
288,1999348691038.1562,2367970264077.179,-27068791791.49762
289,1995269755405.6353,2372241628712.306,-27037360576.71301
290,1991184149698.4556,2376505050029.2734,-27005838697.872246
291,1987091891554.187,2380760518520.2817,-26974226307.400898
292,1982992998617.0137,2385008024723.349,-26942523557.828945
293,1978887488537.6006,2389247559222.269,-26910730601.78925
294,1974775378972.959,2393479112646.5664,-26878847592.01604
295,1970656687586.3062,2397702675671.4536,-26846874681.34333
296,1966531432046.9236,2401918239017.784,-26814812022.70315
297,1962399630030.0103,2406125793452.009,-26782659769.123547
298,1958261299216.533,2410325329786.1323,-26750418073.72616
299,1954116457293.0762,2414516838877.681,-26718087089.723484
300,1949965121951.6997,2418700311629.667,-26685666970.417297
301,1945807310889.7617,2422875738990.538,-26653157869.1955
302,1941643041809.7969,2427043111954.233,-26620559939.52595
303,1937472332419.4807,2431202421560.24,-26587873334.956
304,1933295200431.5688,2435353658893.571,-26555098209.114502
305,1929111663563.7725,2439496815084.681,-26522234715.71216
306,1924921739538.6147,2443631881309.41,-26489283008.540062
307,1920725446083.2915,2447758848788.9346,-26456243241.467594
308,1916522800929.5427,2451877708789.733,-26423115568.440445
309,1912313821813.532,2455988452623.5527,-26389900143.4789
310,1908098526475.7292,2460091071647.3755,-26356597120.67637
311,1903876932660.794,2464185557263.376,-26323206654.19809
312,1899649058117.4578,2468271900918.8774,-26289728898.27993
313,1895414920598.4026,2472350094106.303,-26256164007.227108
314,1891174537860.1353,2476420128363.124,-26222512135.41267
315,1886927927662.8604,2480481995271.8115,-26188773437.275684
316,1882675107770.365,2484535686459.7847,-26154948067.32131
317,1878416095949.8484,2488581193599.3037,-26121036180.11983
318,1874150909971.7449,2492618508407.4194,-26087037930.301365
319,1869879567609.567,2496647622645.956,-26052953472.551167
320,1865602086639.7915,2500668528121.5454,-26018782961.60552
321,1861318484841.817,2504681216685.684,-25984526552.250942
322,1857028779997.9163,2508685680234.715,-25950184399.32625
323,1852732989893.1372,2512681910709.7505,-25915756657.723495
324,1848431132315.1719,2516669900096.597,-25881243482.387028
325,1844123225054.2244,2520649640425.691,-25846645028.311665
326,1839809285902.8865,2524621123772.0483,-25811961450.54075
327,1835489332656.018,2528584342255.2188,-25777192904.164383
328,1831163383110.6313,2532539288039.2373,-25742339544.317863
329,1826831455065.7761,2536485953332.577,-25707401526.180294
330,1822493566322.424,2540424330388.0986,-25672379004.973198
331,1818149734683.3562,2544354411503.007,-25637272135.958942
332,1813799977953.0703,2548276189018.8066,-25602081074.441414
333,1809444313937.6482,2552189655321.2,-25566805975.76675
334,1805082760444.6094,2556094802840.0156,-25531446995.320545
335,1800715335282.773,2559991624049.1396,-25496004288.525784
336,1796342056262.1038,2563880111466.4473,-25460478010.840157
337,1791962941193.5474,2567760257653.7505,-25424868317.751827
338,1787578007888.8984,2571632055216.814,-25389175364.774666
339,1783187274160.747,2575495496805.4146,-25353399307.446648
340,1778790757822.446,2579350575113.342,-25317540301.331806
341,1774388476688.0295,2583197282878.3276,-25281598502.021797
342,1769980448572.097,2587035612881.967,-25245574065.13563
343,1765566691289.6892,2590865557949.6484,-25209467146.318348
344,1761147222656.1702,2594687110950.501,-25173277901.239407
345,1756722060487.113,2598500264797.345,-25137006485.591045
346,1752291222598.1914,2602305012446.649,-25100653055.086605
347,1747854726805.0774,2606101346898.4946,-25064217765.458572
348,1743412590923.3699,2609889261196.5493,-25027700772.459476
349,1738964832768.484,2613668748427.9736,-24991102231.862427
350,1734511470155.54,2617439801723.3604,-24954422299.45941
351,1730052520899.2615,2621202414256.6743,-24917661131.060543
352,1725588002813.865,2624956579245.175,-24880818882.493507
353,1721117933712.938,2628702289949.3306,-24843895709.602654
354,1716642331409.2937,2632439539672.7217,-24806891768.247013
355,1712161213714.8035,2636168321761.962,-24769807214.296345
356,1707674598440.25,2639888629606.6865,-24732642203.62591
357,1703182503395.2593,2643600456639.612,-24695396892.113934
358,1698684946388.2764,2647303796336.551,-24658071435.643246
359,1694181945226.506,2650998642216.354,-24620665990.103344
360,1689673517715.8162,2654684987840.8237,-24583180711.3908
361,1685159681660.626,2658362826814.633,-24545615755.40837
362,1680640454863.7922,2662032152785.255,-24507971278.063263
363,1676115855126.5051,2665692959442.921,-24470247435.264843
364,1671585900248.2107,2669345240520.5693,-24432444382.925682
365,1667050608026.4958,2672988989793.759,-24394562276.960796
366,1662509996256.9834,2676624201080.6113,-24356601273.28588
367,1657964082733.2363,2680250868241.7573,-24318561527.816452
368,1653412885246.6636,2683868985180.2764,-24280443196.467438
369,1648856421586.4277,2687478545841.6284,-24242246435.15308
370,1644294709539.3467,2691079544213.5776,-24203971399.787
371,1639727766889.787,2694671974326.1,-24165618246.282085
372,1635155611419.534,2698255830251.273,-24127187130.54944
373,1630578260907.6282,2701831106103.1685,-24088678208.495075
374,1625995733130.2073,2705397796037.8125,-24050091636.014477
375,1621408045860.418,2708955894253.2314,-24011427568.989056
376,1616815216868.3906,2712505394989.482,-23972686163.2872
377,1612217263921.1936,2716046292528.605,-23933867574.76651
378,1607614204782.7478,2719578581194.542,-23894971959.274296
379,1603006057213.7314,2723102255353.0747,-23855999472.646366
380,1598392838971.5042,2726617309411.7617,-23816950270.70861
381,1593774567809.9976,2730123737819.847,-23777824509.276325
382,1589151261479.6128,2733621535068.2,-23738622344.15254
383,1584522937727.128,2737110695689.259,-23699343931.12687
384,1579889614295.6099,2740591214256.977,-23659989425.9747
385,1575251308924.3315,2744063085386.7695,-23620558984.45665
386,1570608039348.6907,2747526303735.4517,-23581052762.318333
387,1565959823300.1328,2750980864001.177,-23541470915.2905
388,1561306678506.0725,2754426760923.358,-23501813599.089535
389,1556648622689.8076,2757863989282.574,-23462080969.418034
390,1551985673570.4104,2761292543900.4487,-23422273181.96472
391,1547317848862.5789,2764712419639.5137,-23382390392.402073
392,1542645166276.4683,2768123611403.13,-23342432756.38094
393,1537967643517.5808,2771526114135.5093,-23302400429.52597
394,1533285298286.7263,2774919922821.75,-23262293567.435226
395,1528598148279.9924,2778305032487.831,-23222112325.681255
396,1523906211188.7083,2781681438200.547,-23181856859.814964
397,1519209504699.3562,2785049135067.3994,-23141527325.36638
398,1514508046493.4775,2788408118236.5107,-23101123877.84376
399,1509801854247.581,2791758382896.545,-23060646672.73271
400,1505090945633.0525,2795099924276.635,-23020095865.495247
401,1500375338316.0664,2798432737646.311,-22979471611.5689
402,1495655049957.499,2801756818315.434,-22938774066.365932
403,1490930098212.8445,2805072161634.1294,-22898003385.2727
404,1486200500732.134,2808378762992.7227,-22857159723.649338
405,1481466275159.8616,2811676617821.675,-22816243236.82986
406,1476727439134.9116,2814965721591.509,-22775254080.122814
407,1471984010290.488,2818246069812.7188,-22734192408.812386
408,1467236006254.0254,2821517658035.648,-22693058378.159283
409,1462483444647.057,2824780481850.331,-22651852143.39946
410,1457726343085.0361,2828034536886.37,-22610573859.73826
